idx,Category,Variable,Unit,Definition,Tier,Report when,Report for,,Note,,
1,Atmospheric Concentrations,Atmospheric Concentrations|CH4,ppb,atmospheric concentrations of CH4,1,Non-idealised and if emissions-driven,Each ensemble member,,,,
2,Atmospheric Concentrations,Atmospheric Concentrations|CO2,ppm,atmospheric concentrations of CO2,1,If emissions-driven,Each ensemble member,,,Tier,Number of variables
3,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC125,ppt,atmospheric concentrations of HFC125,3,Non-idealised and if emissions-driven,Each ensemble member,,,1,30
4,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC134a,ppt,atmospheric concentrations of HFC134a,3,Non-idealised and if emissions-driven,Each ensemble member,,,2,45
5,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC143a,ppt,atmospheric concentrations of HFC143a,3,Non-idealised and if emissions-driven,Each ensemble member,,,3,122
6,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC152a,ppt,atmospheric concentrations of HFC152a,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
7,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC227ea,ppt,atmospheric concentrations of HFC227ea,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
8,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC23,ppt,atmospheric concentrations of HFC23,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
9,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC236fa,ppt,atmospheric concentrations of HFC236fa,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
10,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC245fa,ppt,atmospheric concentrations of HFC245fa,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
11,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC32,ppt,atmospheric concentrations of HFC32,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
12,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC365mfc,ppt,atmospheric concentrations of HFC365mfc,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
13,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|HFC|HFC4310mee,ppt,atmospheric concentrations of HFC43-10mee,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
14,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|NF3,ppt,atmospheric concentrations of nitrogen trifluoride (NF3),3,Non-idealised and if emissions-driven,Each ensemble member,,,,
15,Atmospheric Concentrations,Atmospheric Concentrations|F-Gases|PFC|C2F6,ppt,atmospheric concentrations of C2F6,3,Non-idealised and if emissions-driven,Each ensemble member,,,,
