,aci_scale,Sulfur
CanESM5,-0.7336649944248801,0.025868756767978982
CNRM-CM6-1,-1.7673608256513607,0.005325133264001169
E3SM-2-0,-1.784182834989146,0.009849719705898518
GFDL-CM4,-11.283315464838468,0.000547686065119826
GFDL-ESM4,-12776.50236215104,4.2058400214935593e-07
GISS-E2-1-G,-0.4366904678904511,0.02703037789690026
HadGEM3-GC31-LL,-1.1493545934016356,0.011658237120501165
IPSL-CM6A-LR,-1.1718716041183466,0.0029921483313584646
MIROC6,-0.798181451548634,0.016100202535330153
MPI-ESM-1-2-HAM,-2.7379864348730862,0.005565048096234201
MRI-ESM2-0,-11.43696879052104,0.0006161236790684056
NorESM2-LM,-12.034986208738685,0.0008829123329024743
UKESM1-0-LL,-0.7226355672036274,0.03346897963522341
