Run,Energy Balance Model.Heat Capacity of Land & Ocean Surface[1],Energy Balance Model.Heat Capacity of Thermocline Ocean[1],Energy Balance Model.Heat Capacity of Deep Ocean[1],Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[1],Energy Balance Model.Heat Transfer Coefficient between Land & Ocean Surface and Space[1],Energy Balance Model.Heat Transfer Coefficient between Surface and Thermocline Ocean[1],Energy Balance Model.Heat Transfer Coefficient between Thermocline Ocean and Deep Ocean[1],Aerosol Forcing.Scaling Aerosol Cloud Interactions Effective Radiative Forcing scaling factor[1],Aerosol Forcing.Logarithmic Aerosol Cloud Interactions Effective Radiative Forcing scaling factor[1],Aerosol Forcing.Effective Radiative Forcing from Aerosol Radiation Interactions per unit SO2 Emissions[1],CH4 Forcing.Calibration scaling of CH4 forcing[1],N2O Forcing.Calibration scaling of N2O forcing[1],Minor GHGs Forcing.Calibration scaling of Minor GHG forcing[1],Stratospheric Water Vapour Forcing.Calibration scaling of Stratospheric H2O forcing[1],BC on Snow Forcing.Calibration scaling of Black Carbon on Snow forcing[1],Land Use Forcing.Calibration scaling of Albedo forcing[1],Land Use Forcing.Calibration scaling of Irrigation forcing[1],Natural Forcing.Calibration scaling of Volcano forcing[1],CO2 Forcing.Calibration scaling of CO2 forcing[1],Natural Forcing.Amplitude of Effective Radiative Forcing from Solar Output Variations[1],Natural Forcing.Linear trend in Effective Radiative Forcing from Solar Output Variations[1],Ozone Forcing.Ozone forcing per unit CH4 concentration change[1],Ozone Forcing.Ozone forcing per unit N2O concentration change[1],Ozone Forcing.Ozone forcing per unit Montreal gases equivalent effective stratospheric chlorine concentration change[1],Ozone Forcing.Ozone forcing per unit CO emissions change[1],Ozone Forcing.Ozone forcing per unit VOC emissions change[1],Ozone Forcing.Ozone forcing per unit NOx emissions change[1],Forest.CO2 tree net primary production parameter[1],Forest.STA maximum aboveground biomass per area parameter[1],Forest.STA squared maximum aboveground biomass per area parameter[1],Forest.STA squared tree net primary production parameter[1],Forest.STA tree net primary production parameter[1],Grass.CO2 grass net primary production parameter[1],Grass.STA grass net primary production parameter[1],Grass.STA squared grass net primary production parameter[1],Crop.harvest index for energy crops[1],Ocean.Warm surface ocean alkalinity sensitivity to global T anomaly[1],Ocean.Cold surface ocean alkalinity sensitivity to global T anomaly[1],Ocean.High latitude carbon pump sensitivity to global T anomaly[1],Ocean.Warm surface ocean temperature sensitivity to global T anomaly[1],Ocean.Cold surface ocean temperature sensitivity to global T anomaly[1],Ocean.Warm surface ocean salinity sensitivity to global T anomaly[1],Ocean.Cold surface ocean salinity sensitivity to global T anomaly[1],Ocean.Initial Cold surface ocean carbon reservoir[1],Ocean.Initial Cold surface ocean pH[1],Ocean.Initial Deep ocean ocean carbon reservoir[1],Ocean.Initial Intermediate depth ocean carbon reservoir[1],Ocean.Initial Warm surface ocean carbon reservoir[1],Ocean.Initial Warm surface ocean pH[1],Forest.Initial Mature forest aboveground biomass[1],Forest.Initial Young forest aboveground biomass[1],Land Use.Initial Mature Forest[1],Land Use.Initial Young Forest[1],cropland soil carbon.Initial fast soil carbon cropland[1],cropland soil carbon.Initial slow soil carbon cropland[1],degraded land soil carbon.Initial fast soil carbon degraded land[1],degraded land soil carbon.Initial slow soil carbon degraded land[1],forest soil carbon.Initial fast soil carbon mature forest[1],forest soil carbon.Initial fast soil carbon young forest[1],forest soil carbon.Initial slow soil carbon mature forest[1],forest soil carbon.Initial slow soil carbon young forest[1],grassland soil carbon.Initial fast soil carbon grassland[1],grassland soil carbon.Initial slow soil carbon grassland[1],Ocean.Depth of warm surface ocean layer[1],Ocean.Thickness of intermediate ocean layer[1],Ocean.Depth of cold surface ocean layer[1],Ocean.Reference overturning strength in Sv[1],Ocean.Reference intermediate to warm surface ocean mixing strength[1],Ocean.Reference cold surface to deep ocean mixing strength[1],Ocean.Reference strength of biological carbon pump in low latitude ocean[1],Ocean.Reference strength of biological carbon pump in high latitude ocean[1],Ocean.High latitude carbon pump transfer efficiency[1],Crop.normal harvest index for food crops[1],Crop.sensitivity of effect of crop yield on harvest index[1],Crop.crop yield 1980 reference[1],Crop.harvest index for feed crops[1],Crop.sensitivity of effect of crop residue production on field fraction[1],soil carbon decay.cropland litter input share slow soil carbon[1],soil carbon decay.grassland litter input share slow soil carbon[1],soil carbon decay.mature forest litter input share slow soil carbon[1],soil carbon decay.young forest litter input share slow soil carbon[1],soil carbon decay.natural decay rate fast soil carbon[1],soil carbon decay.natural decay rate litter carbon[1],soil carbon decay.natural decay rate slow soil carbon[1],soil carbon decay.temp response[1],soil carbon decay.e0[1],degraded land soil carbon.degraded land productivity reduction factor[1],Land Use.forest recovery time[1],CO2 Forcing.Atmospheric CO2 Concentration 1750[1]
Run 1,5.167455199059028,14.129789439996726,160.11236579835514,1.2863575643563867,1.254332338280956,2.1391452122600825,1.3142889749433233,-3.4545629890881178,0.0056116268563207,-0.0041252334697835,1.2246288544610795,1.0893172994135194,0.9384416901026584,2.2867600452055914,1.0134227582164983,0.8880471237743459,-1.8237495180173329,1.0474151435098231,1.0606672118203824,1.1860296153358043,0.0152487736567465,0.0002529642369469,0.0008800499414112,-4.489481704486216e-05,4.8840931524757545e-05,3.5337470219890392e-06,0.0013721892430854,0.000639925887343722,0.33555238254583303,-0.03357238444978063,-0.026661141352884703,0.030579177663524235,0.0006310827327953628,0.03916887239408424,-0.03099064602356961,0.7432580976531777,-3.160444675937668e-06,-7.40793624236116e-06,-0.1131032037481719,0.7500828797067295,0.42004520303722465,-0.03160444675937668,-0.0740793624236116,626.122609437,8.41476191348,23990.4112999,8984.66024408,694.218252843,8.1451102177,656.387663649,64.3995693252,4013.42127983,607.106045174,12.5863373473,12.8430029319,0.00610431463673,0.00360943829542,297.665799463,28.1203555764,174.286463075,21.9471788579,178.38373802,111.584448188,95.24712889407208,951.2379989010064,493.9420508742221,29.987584250374915,80.67991036412134,13.826509650109475,0.8876107021662397,8.514599171842121,0.2378112537500505,0.4021643925395894,0.0632162670602063,5.667828444208261,0.5646831899114385,0.4776311211992092,0.0186869294401361,0.0123661571685969,0.0237849758594266,0.0191176833903385,0.0324948557379535,0.7315220418438906,0.0010245821014723,58.84901871860672,300.88533089533274,0.0809788024719211,61.49232888782867,277.0872016251293
Run 2,3.808649912579935,22.78310488768032,287.48750622702266,0.389802577682134,1.7979167882417266,2.861631997950585,0.8209287353619092,-0.7860829904718452,0.0321518506253123,-0.001795820221351,0.946281869298365,0.8544680760305026,1.135300248795983,2.2752838942871607,0.7224899741286359,1.5425167673990423,0.0309673523761122,0.8418703097949771,0.9089282853459888,0.8867102861238831,-0.1076140090005093,0.0002813494938181,0.0014769319815854,-9.521520726735937e-05,0.0002216369808665,-8.53535837728269e-05,0.0020488917542833,0.0008432504784445327,0.29370612586515565,-0.059848848189598736,-0.02274760050326549,0.05127704032351011,0.000981247447546285,0.11663446696700029,-0.01084494792234083,0.6434611195846014,-1.9404971293328034e-06,-1.4382312355807386e-05,-0.33207373491332276,0.8087859924510177,0.5407827352204756,-0.019404971293328035,-0.14382312355807386,323.942834191,8.31184834307,25047.0694882,8386.03218278,555.911925685,8.15613846832,622.044878083,70.3342163722,3966.68005968,653.847265319,11.0981281841,12.9457248877,0.00581693128266,0.00383845978115,256.315409995,27.5313712322,167.391967576,24.1511038006,154.860696668,119.377237413,76.52203608812877,895.8757219994321,248.83522222155656,18.814676795487983,82.4301567516469,26.552275509130304,2.4552277425090896,5.314739390498322,0.2469883327593591,0.4145987968894187,0.0660081699122522,5.756120357729381,0.7308128531566237,0.2379395742195488,0.0190158708391183,0.0152058084625623,0.0233600479496078,0.0243993148485077,0.0281534289815007,0.7955476810581411,0.0008085245688592,47.33415928057282,309.1775187911882,0.0886726635794153,65.97627966239475,276.1781806637388
Run 3,4.004514390224696,12.731656878286376,112.4502561759898,1.021855238684322,0.5589758992303236,2.040538816715844,0.7874264910930258,-0.4017353770731319,0.0316268098672348,-0.0051523346388631,0.9871534758195156,1.035439946752531,1.1005391506718938,0.9923041506353932,0.1614705930939038,0.8064837523962882,1.5415851362734705,1.4744042437407416,1.1006879276304338,1.058856921274177,0.0204557104048259,0.0002416538243442,0.0014298886626271,8.090650890727125e-06,8.289513449287562e-05,-0.0001606098792781,0.0009763795200752,0.0005502745876600801,0.3395509997645013,-0.020807726550103725,-0.010024831499250174,0.10203973109236403,0.0005956627412527369,0.0455044280866496,-0.027427004140789392,0.7205848470312942,-3.6983524740395194e-06,-6.741500039249775e-06,-0.006731054584197704,0.9996275275112474,0.8368984313721235,-0.03698352474039519,-0.06741500039249775,129.108556499,8.29104042757,25562.3805618,8680.38268135,1798.62085026,8.1588931735,670.577464354,50.5089496568,4098.40378019,522.123544812,12.8838086701,10.2483279747,0.0037036165189,0.00149647914929,314.649107653,23.2841668547,142.092885224,14.8068578632,184.408063774,89.3578619494,247.7874982573657,910.5983714718716,98.68687827292064,16.451110974566035,65.51809633029492,13.719405566671842,2.7143077368472635,5.299106423361891,0.4752386578786186,0.4132743651336882,0.0969121365368538,5.688798991583697,0.617616059799727,0.2359687022971651,0.0131472881838092,0.010190148416225,0.0189192034457185,0.0110644061534625,0.0313244831127089,0.6468365518882769,0.0010111962837435,50.12888793586303,297.1606111545061,0.0473592789364748,52.886682896179295,275.89018981140373
Run 4,5.774367873866328,13.305706711171288,80.50681176207533,1.5853386765952706,0.8275225003993361,2.925682760649877,1.374142964740899,-1.2905895665700235,0.0314799568661477,-0.0010265389072901,1.1276496845914448,0.9008884114898033,1.1323273423780864,0.3138540709374867,1.0964351977343552,0.5501959894543013,1.3582533746015126,1.0607280803864172,1.046579633155593,0.7971540838290705,0.092950570721648,0.0002018858880019,0.0007316401856711,-3.842201096478589e-06,0.0002044320623412,0.0001142258932852,0.0007805241607363,0.0009103977777604298,0.33961047560109636,-0.046818130431250785,-0.04711913020506651,0.07568375595445621,0.0005561991603661475,0.07190188763149463,-0.02143869252850898,0.9188118319095719,-1.5376133334374208e-06,-6.731587399817267e-06,-0.2234844202604232,0.44321304692400243,0.6831552430676613,-0.015376133334374209,-0.06731587399817267,377.834024277,8.31108697078,23637.7242581,8154.14047928,2270.76650481,8.15349391303,630.567815168,64.9153126487,4002.29151691,618.235808086,13.7542752471,8.6161087165,0.00148607156233,0.000749281000516,314.517500256,30.9455248357,112.785384383,15.1999927991,187.987380471,80.0169828313,312.32690824627804,845.4151659131013,290.1784254447771,21.90526714942133,65.41947623550983,26.305697756326424,2.7775213032520583,6.090406015838778,0.2281697913708277,0.4432496291403791,0.0892911166382973,6.3539616865658575,0.5154894130254469,0.2312827580351724,0.0191160179746198,0.0122685204037065,0.0163247720864679,0.018072517460419,0.0291454022374721,0.7689333914500007,0.0011059914837607,58.82040873686505,306.81887265548346,0.0187229962621075,62.40963002091524,278.1208628439668
Run 5,3.5982239199972685,14.097830650766404,68.53974728123212,1.256284568335077,1.682518684975146,2.35149724997914,0.5701742226661871,-4.391074050491524,0.0029701257520396,-0.0052571848579289,1.2351612247867056,1.1250750375468173,0.91417239243162,1.1125100650098236,1.506012295501164,0.9227725939065392,0.7289387680728221,1.1750785079489798,1.0099247356217995,1.2371299753547338,0.0127079095708113,0.0002154628594811,0.0016812355528992,4.225957878418045e-05,0.0001139911578276,0.0003318327939118,0.0008921493283516,0.0005411226572618356,0.20244567837512933,-0.052193903807101205,-0.02002333739498779,0.04817301870465081,0.0005157397552120459,0.015600393327952659,-0.04448429492125564,0.7634792381065281,-3.7532640564289864e-06,-2.9592386937478448e-05,-0.2682825317258434,0.8496499390751833,0.5226759424437963,-0.037532640564289864,-0.2959238693747845,603.417145096,8.32518669753,26191.4882601,8358.39030806,938.227123614,8.15350591648,661.037103975,54.9318407037,4070.30577607,550.221548928,12.6151898486,12.459919304,0.00484684202342,0.00201103834625,310.536272691,24.769116562,159.547942298,19.593875389,181.702453837,122.945515618,129.04656939237427,902.6172672196876,465.01460332815975,15.34477744878248,76.26881461473982,11.132661138016047,1.0054893399550318,5.569671446039873,0.442398038844273,0.4471210578575622,0.0671606094199629,6.457011394613212,0.7496363670558849,0.5905878185814044,0.0122867221315022,0.0164437732373117,0.0174216761864466,0.0247664240218008,0.0309450132216284,0.6375426074713604,0.0009072554478278,48.29263775724651,297.9820108154045,0.0624394747956111,55.69596575987864,277.03752913789066
Run 6,2.939306967703219,16.08434287756545,94.69100279682505,0.9753528752503084,1.0691020249635277,0.7576896433151785,0.7957702535921685,-2.111546680674172,0.0091247833131199,-0.0053849542799523,1.1164800659228298,0.9381198986980062,0.998851415350737,0.1220693479130277,0.5245653172902901,0.9443380989760096,-0.1180309855234254,1.0186728811416477,1.029780410217411,1.566886482321218,-0.0697068872574273,0.0002326477193492,0.0010169097173969,-0.0001747685806559,7.945186206068027e-05,-0.0001240579763226,0.0010814414254013,0.0005299702069589237,0.33579491167523867,-0.07526728023529823,-0.041797255069658985,0.0718217474906506,0.0008436092829358139,0.11271208825665503,-0.030073045027775844,0.7580498266166983,-3.8201787582464575e-06,-7.367514720793554e-06,-0.4605606686274853,0.5230411739551153,0.6606268603621284,-0.03820178758246458,-0.07367514720793554,271.806638809,8.42674951506,28684.6786036,7767.49121681,707.43574671,8.14093385069,626.492794091,63.1345822905,4011.68735729,608.839967713,14.6943722412,10.5059167788,0.000972508682456,0.000360434366206,328.061097885,31.9831544918,138.021389174,17.6017027791,196.274260048,97.5434117935,96.94132964880733,780.7806230086524,215.14812964965984,12.471673507400162,56.001804120216114,15.501031995548525,1.1620155635678695,9.280549344981097,0.4046211367188178,0.4178321199673573,0.0908909543150787,6.197600080612965,0.6237971138296294,0.5532026578583414,0.0147507650856489,0.0148988083472872,0.0208809814903239,0.012234687952538,0.0266731412393299,0.7477094331989267,0.0010587502739497,52.06597907978096,291.7383530818626,0.0116574313691209,61.411329393837015,279.47888678011543
Run 7,3.7046487401297408,34.23493022409622,110.92868575934682,1.0823721284587886,2.259240656849406,2.902683000282263,1.4327067843397605,-2.031021720207867,0.0099426749601647,-0.0029251372718156,0.8520856587715736,0.9098679564127918,1.1168765951628676,1.7548787102260115,1.7872420207973816,0.8827605331616976,0.6679535017225585,1.0045786647538486,0.8922379448861593,1.4352761605417357,-0.0150024579237036,0.0002766059594512,0.001270479511037,-1.2049043461324294e-05,8.829564708439767e-05,0.0001301035991866,0.0018256080334527,0.000744677188512656,0.21798125336050128,-0.06061428561375165,-0.029175352001589775,0.09726290739247405,0.000865298035910908,0.04499662140904043,-0.030805065831304226,0.6831906494399578,-2.5319368689240636e-06,-2.7003124439916452e-05,-0.33845238011459705,0.7123697199761534,0.8090336264560987,-0.025319368689240635,-0.27003124439916454,390.493167789,8.26926232612,23502.5210582,8948.21339937,2501.09723381,8.15335049036,642.818949579,73.1814299005,3957.94658635,662.580738649,10.0114681731,9.30789869447,0.00500447736657,0.00226109986735,238.55562931,25.7426694256,120.730513314,17.7399084133,143.877402763,85.4487609565,343.99244081398945,925.4174553069378,296.99360525508445,29.806681028163723,56.47080412060038,12.75661297748399,2.78109504116839,5.7454002565241575,0.3747670969727541,0.4235690890805509,0.091296599454315,6.406534800832856,0.5813510618867507,0.6435702457376353,0.0129348883739928,0.0118208094427412,0.0176665645101677,0.0207767166287748,0.0309058708743294,0.7982751139210233,0.0008760735834466,47.43534766004214,301.4045207743279,0.0818705944597831,67.06975575534207,281.60378721665853
Run 8,5.389994011686348,19.622825236610225,150.99758222699387,1.132400429593902,2.204326203824277,0.6513456715091333,0.6821545225158893,-0.8525081582242917,0.0089452577775231,-0.005104891741622,1.040388577340314,1.0058858990005142,1.0794124951970854,1.8085867130186677,1.4143069889963242,1.2457815304118414,-0.4214684196417909,1.1795627296711246,1.0191542298598475,0.7442633864902033,0.047203474815971,0.000245316708457,0.0018193101744899,5.237751634711805e-06,0.0001050701336853,0.0001026779205702,-0.0003136035377355,0.000554415676704139,0.21741444157282608,-0.022790530024406633,-0.019574077993411675,0.03714429094041308,0.0006645006008866463,0.034492452330426714,-0.041623010324680555,0.7913091423982493,-3.673505939775166e-06,-2.7097593071195657e-05,-0.02325441687005525,0.8563888300988249,0.4583416971524096,-0.03673505939775166,-0.2709759307119566,370.851885454,8.26234156088,25470.7098392,5753.22596343,2796.99716487,8.1607227489,630.673364191,69.5881710676,3974.43519898,646.09212602,16.132455463,10.4307677466,0.00639715219624,0.00294764725727,361.405112279,38.0939310082,138.836365275,19.2875307318,218.049557775,93.672952106,385.54150603127175,624.5830692171891,281.6168130057781,25.076393076263656,60.42478182783242,20.10172094364306,1.170810054215273,4.010972135753066,0.3660602299091688,0.4230377251722696,0.0971463402295001,6.279673264721573,0.571899842856066,0.5781615154608187,0.019952528047171,0.0137608631486298,0.0200342870387128,0.0212307954999441,0.0261837254033859,0.6111417366913261,0.0011369941618267,48.22883897565497,308.912177289183,0.0694569832845103,65.26420912160162,277.004389473896
Run 9,4.407009209887932,7.093929092850434,76.66536631557452,1.1303504751689797,0.4441137180335253,1.4860934357069162,0.7378211578403131,-2.7536294271171835,0.0080361883440466,-0.0052164404195073,0.9667794598405256,1.037699156579142,0.8965784111089522,0.5923430404483776,1.2279002523147398,0.94134032425553,0.2714027010164979,0.9708466309465862,1.2234915799206114,1.159076543431668,-0.0522402755493445,0.0002085558188425,0.0018137959667126,2.279914135386744e-05,0.00024162804226,0.0001711052644849,0.0010649085608898,0.0005446790662791182,0.26013568442014806,-0.06994335119536102,-0.04561625380863399,0.04637289496463905,0.0008002086901942236,0.06114879846679613,-0.02967854805753763,0.7209699130638023,-3.7319256023252904e-06,-1.9977385929975323e-05,-0.4161945932946751,0.46575619287049025,0.5121752206270611,-0.0373192560232529,-0.19977385929975322,575.559079159,8.43921823879,25000.4865249,8508.24307216,1932.51825441,8.14331187056,630.919795197,71.1978123563,3965.00796133,655.519363672,14.4287957188,11.9473880283,0.00724202355861,0.00330022611193,323.756930205,34.8307096037,153.10702695,22.3876207048,195.459282371,112.134221507,265.0020283214675,829.2847047051735,457.2071527651469,21.83394198173909,57.88533372712831,17.250248342033846,2.8972529564461613,10.744798689366998,0.3261541475396326,0.4138765495803382,0.0979843942696259,6.163099895164439,0.5886942440337047,0.16498910124825,0.01469076738143,0.0134698833635107,0.0184502180694627,0.0207633563967086,0.0290032825057726,0.7435253645001139,0.0009296718503177,58.38501829574388,300.4451331332556,0.0872794870445905,66.2331123114574,276.9844276897128
Run 10,4.892572098047412,26.177502701337296,72.71626953074991,1.030302805405633,1.1037394631465534,1.108566294801106,0.7326204187150509,-18.07773221681627,0.0008979529007443,-0.0053906972328488,0.9742906589367636,0.9234464753103376,0.97061354503571,0.9953410443023966,2.2784650806750903,1.0938857427944837,-2.345281204393201,1.2900838000345216,1.041818771377686,1.1018311140038393,-0.028789999925382,0.0002406979974402,0.0013063682436024,-8.564291810589757e-05,0.0001635881814522,-7.499343425849421e-05,0.0012233043562731,0.0005294689289868097,0.327687654714164,-0.053488637037125794,-0.032370646409024026,0.10729047025494073,0.0009138068877282576,0.10820910970036358,-0.04342630304750839,0.7286147911644393,-3.8231864260791414e-06,-8.718724214305997e-06,-0.2790719753093816,0.6644403038646396,0.8675277431538209,-0.038231864260791414,-0.08718724214305998,91.8587088137,8.33612167511,25652.9443207,7005.55599068,2313.56955346,8.15017772006,645.18503394,76.2128948901,3941.4301108,679.097214204,11.6322242755,11.1438672963,0.00443214251163,0.00157288744091,281.029101977,31.6547522076,152.984057115,21.3006530115,171.033947563,92.7338917266,317.8998879423379,748.7756256245668,70.98096146494211,23.003588442151457,87.49286420097536,28.94246637201802,2.1067614631624134,7.242839044187778,0.4441159422062538,0.4084326687065545,0.0909657905451556,6.448553912943224,0.5085279898104185,0.7473671838161255,0.0121326673799456,0.011414673792886,0.0237735520804976,0.0178624459989124,0.0332826421202135,0.6347436359035039,0.0011268381925714,48.28129765186329,296.835999946257,0.0609638745823109,68.78952954270252,278.626593785267
