Run,Ocean.Depth of warm surface ocean layer[1],Ocean.Thickness of intermediate ocean layer[1],Ocean.Depth of cold surface ocean layer[1],Ocean.Reference overturning strength in Sv[1],Ocean.Reference intermediate to warm surface ocean mixing strength[1],Ocean.Reference cold surface to deep ocean mixing strength[1],Ocean.Reference strength of biological carbon pump in low latitude ocean[1],Ocean.Reference strength of biological carbon pump in high latitude ocean[1],Ocean.High latitude carbon pump transfer efficiency[1],Forest.Young mature forest biomass ratio[1],Crop.normal harvest index for food crops[1],Crop.sensitivity of effect of crop yield on harvest index[1],Crop.crop yield 1980 reference[1],Crop.harvest index for feed crops[1],Crop.sensitivity of effect of crop residue production on field fraction[1],soil carbon decay.cropland litter input share slow soil carbon[1],soil carbon decay.grassland litter input share slow soil carbon[1],soil carbon decay.mature forest litter input share slow soil carbon[1],soil carbon decay.young forest litter input share slow soil carbon[1],soil carbon decay.natural decay rate fast soil carbon[1],soil carbon decay.natural decay rate litter carbon[1],soil carbon decay.natural decay rate slow soil carbon[1],soil carbon decay.e0[1],soil carbon decay.temp_response[1],degraded land soil carbon.degraded land productivity reduction factor[1],Land Use.forest recovery time[1],Forest.tree net primary production in 1750[1],Grass.grass net primary production in 1750[1],Forest.forest aboveground biomass 1750[1],Land Use.Initial young forest area[1],Ocean.Atmospheric CO2 Concentration 1750[1]
Run 1,175.93329860934978,932.5777852138875,398.2071166266453,21.66942932355765,56.85972588784141,15.243309311814514,0.7292218098521059,7.801870795286078,0.2637235401750604,0.579988341811827,0.4292247590806657,0.05757149821794099,5.993388717353204,0.7161008533369401,0.21820504859882503,0.01754117061814645,0.021369186749998582,0.03282135481906291,0.024392074819407042,0.032787113620187464,0.6549456420620474,0.0011549066612362537,295.919733081582,56.16110536974732,0.0936625346884766,58.79133707413027,0.006375743865964643,0.004562882625495883,535.3503965535348,78.486614010988,279.93985690157655
Run 2,358.92543060007944,737.2952540373931,201.1336385780095,23.626199748367256,63.75901344117004,29.249897901851398,2.665861674175007,11.831010415531834,0.14966985095383023,0.32558655235363776,0.41863566223414467,0.07526364902502959,5.813951094802348,0.6661015149440492,0.41567268422633036,0.028180746061999024,0.013111630225848414,0.02405018965138844,0.028938821372501845,0.0337833366442315,0.6543836195708023,0.0008362396561131812,299.65190197624804,55.92434390232689,0.051601269780728536,56.84900754372082,0.007813122583302773,0.004042587619761021,685.4309748985795,53.40322851688468,278.8522417440592
Run 3,95.24712889407208,951.2379989010063,493.94205087422205,29.987584250374915,80.67991036412134,13.826509650109475,0.8876107021662397,8.514599171842121,0.23781125375005058,0.3673398258849627,0.40216439253958947,0.06321626706020635,5.667828444208261,0.5646831899114385,0.47763112119920925,0.027373858880272363,0.014732314337193908,0.032569951718853365,0.025196138983897526,0.032494855737953535,0.7315220418438906,0.001024582101472338,299.4245093593034,57.721332723833186,0.08097880247192113,61.49232888782867,0.00509112101980632,0.004564895040418239,689.5766770136925,89.51853021806737,277.0872016251293
Run 4,419.3579999843868,951.5155528051165,298.8640217656191,11.440434897466748,71.89458531815207,12.247966414645902,1.5475471907873657,9.712261494298204,0.4643563793252252,0.48476030401117143,0.4051918721159825,0.0896890120308786,6.459878438193906,0.7812673467375479,0.5413153400739167,0.01567639987160699,0.013269240499067714,0.03254336022746057,0.026668300255348713,0.03203705087382641,0.6885916259066303,0.001047358898778375,295.55890991359337,55.96752802288706,0.06005450326126496,51.876524383226226,0.008879310901763273,0.003712188636991446,645.0594631995914,108.85356923064175,278.9395812955851
Run 5,87.010391535652,311.41316575060347,258.54572144674097,24.988331302506104,62.724339568216934,10.629590208481837,0.14000983319881644,5.103141015748872,0.28683341497888937,0.5748256385807249,0.44582308287512407,0.07578594359510876,5.964456726107373,0.5387931738823126,0.2422051973434564,0.029485214274087047,0.01651130595864459,0.034154661117146476,0.02563341949004977,0.030729374259701257,0.7324931490689435,0.0009087486026382314,293.6227667457816,59.280775759315794,0.014006420366027403,56.75872346695237,0.00776113666025028,0.0041410234925374646,676.5833696490545,181.68309063002343,277.49737429669034
Run 6,76.97318626303135,933.7095878177805,85.49539823526324,14.10137246517051,70.6072491635502,23.744371317432556,2.5678022064163755,7.985390994444832,0.2806283732762266,0.3045197749518472,0.4384638895825734,0.0502947090692622,6.023556261759473,0.5461774744170886,0.2221539324018893,0.019599288867569963,0.02758221087489661,0.018776802612837318,0.022543569083506847,0.025915968894866883,0.7842707566179884,0.0010394592322161516,294.7648860344819,55.95824424890897,0.08906999595449676,69.64505554798772,0.007009826166370126,0.0038192144857393203,596.4259614667022,212.22623399945547,277.02455407613854
Run 7,270.2094696613905,383.91251568233935,195.39285789686267,20.412323999205114,79.08763579749134,24.611921436436315,0.8749155352260105,7.838986833739155,0.19507502793138035,0.6338288027939545,0.4442591768047095,0.07542915063479103,6.134595801446334,0.6537893556431846,0.7074249350580739,0.02713556959924806,0.02671181996298501,0.026514580991886885,0.01953601671290455,0.033424382162734474,0.6674943629906744,0.0010028814919867818,292.3079766374447,58.30571621216692,0.07544823249069241,64.45584498556033,0.008698142408470616,0.0038140781439327228,602.1266091041298,82.10110415354512,275.7520635275081
Run 8,98.97410903372504,381.2673940065216,479.0710248169503,25.21296100329416,59.04809698013769,16.58002403546585,0.6123113082606677,5.67539793506389,0.31863901988371357,0.31477187359384945,0.400176379076145,0.05783641822077479,5.738788053375054,0.7162538777007442,0.3217810256177377,0.016644104325192262,0.01897786837599052,0.025316428587985433,0.029416893295241303,0.031210987887547142,0.7613391105301246,0.0009790078258076103,294.56967635169974,56.350761772869184,0.03295611186054366,57.834755676374584,0.009407637296484389,0.003733847991846609,602.8170826532523,120.83546476506334,277.06263033771546
Run 9,90.2111596512064,580.633193960691,125.42486603479239,12.191873095683007,62.12429832154635,22.00834760776894,1.278719961669903,8.064290388492473,0.2382513292157741,0.44877757150952996,0.44038774566689737,0.052469233835465486,6.17106715912572,0.5394137133681103,0.22354645615826604,0.02729554303308749,0.02641178874762655,0.0311677900404318,0.031227889722801903,0.028803911833200004,0.7227140031198069,0.0008336442507926769,291.1945094184244,58.382500499106584,0.026659415339217667,50.34459972250448,0.006805673575697638,0.004522770336255572,589.8652571284526,135.3536483648416,278.6922703281989
Run 10,76.52203608812877,895.8757219994321,248.83522222155656,18.814676795487983,82.4301567516469,26.552275509130304,2.4552277425090896,5.314739390498322,0.24698833275935916,0.6493363142944338,0.41459879688941875,0.0660081699122522,5.756120357729381,0.7308128531566237,0.2379395742195488,0.028031741678236598,0.020411616925124616,0.031720095899215706,0.033998858080846246,0.028153428981500712,0.7955476810581411,0.000808524568859287,293.66707964028643,59.79437969779705,0.0886726635794153,65.97627966239475,0.006804041931965023,0.0047709224362386775,506.880671634144,180.20461832118758,276.1781806637388
