Run,Energy Balance Model.Heat Capacity of Land & Ocean Surface[1],Energy Balance Model.Heat Capacity of Thermocline Ocean[1],Energy Balance Model.Heat Capacity of Deep Ocean[1],Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[1],Energy Balance Model.Heat Transfer Coefficient between Land & Ocean Surface and Space[1],Energy Balance Model.Heat Transfer Coefficient between Surface and Thermocline Ocean[1],Energy Balance Model.Heat Transfer Coefficient between Thermocline Ocean and Deep Ocean[1],Aerosol Forcing.Scaling Aerosol Cloud Interactions Effective Radiative Forcing scaling factor[1],Aerosol Forcing.Logarithmic Aerosol Cloud Interactions Effective Radiative Forcing scaling factor[1],Aerosol Forcing.Effective Radiative Forcing from Aerosol Radiation Interactions per unit SO2 Emissions[1],CH4 Forcing.Calibration scaling of CH4 forcing[1],N2O Forcing.Calibration scaling of N2O forcing[1],Minor GHGs Forcing.Calibration scaling of Minor GHG forcing[1],Stratospheric Water Vapour Forcing.Calibration scaling of Stratospheric H2O forcing[1],BC on Snow Forcing.Calibration scaling of Black Carbon on Snow forcing[1],Land Use Forcing.Calibration scaling of Albedo forcing[1],Land Use Forcing.Calibration scaling of Irrigation forcing[1],Natural Forcing.Calibration scaling of Volcano forcing[1],CO2 Forcing.Calibration scaling of CO2 forcing[1],Natural Forcing.Amplitude of Effective Radiative Forcing from Solar Output Variations[1],Natural Forcing.Linear trend in Effective Radiative Forcing from Solar Output Variations[1],Ozone Forcing.Ozone forcing per unit CH4 concentration change[1],Ozone Forcing.Ozone forcing per unit N2O concentration change[1],Ozone Forcing.Ozone forcing per unit Montreal gases equivalent effective stratospheric chlorine concentration change[1],Ozone Forcing.Ozone forcing per unit CO emissions change[1],Ozone Forcing.Ozone forcing per unit VOC emissions change[1],Ozone Forcing.Ozone forcing per unit NOx emissions change[1],Forest.CO2 tree net primary production parameter[1],Forest.STA maximum aboveground biomass per area parameter[1],Forest.STA squared maximum aboveground biomass per area parameter[1],Forest.STA squared tree net primary production parameter[1],Forest.STA tree net primary production parameter[1],Grass.CO2 grass net primary production parameter[1],Grass.STA grass net primary production parameter[1],Grass.STA squared grass net primary production parameter[1],Crop.harvest index for energy crops[1],Ocean.Warm surface ocean alkalinity sensitivity to global T anomaly[1],Ocean.Cold surface ocean alkalinity sensitivity to global T anomaly[1],Ocean.High latitude carbon pump sensitivity to global T anomaly[1],Ocean.Warm surface ocean temperature sensitivity to global T anomaly[1],Ocean.Cold surface ocean temperature sensitivity to global T anomaly[1],Ocean.Warm surface ocean salinity sensitivity to global T anomaly[1],Ocean.Cold surface ocean salinity sensitivity to global T anomaly[1],Ocean.Initial Cold surface ocean carbon reservoir[1],Ocean.Initial Cold surface ocean pH[1],Ocean.Initial Deep ocean ocean carbon reservoir[1],Ocean.Initial Intermediate depth ocean carbon reservoir[1],Ocean.Initial Warm surface ocean carbon reservoir[1],Ocean.Initial Warm surface ocean pH[1],Forest.Initial Mature forest aboveground biomass[1],Forest.Initial Young forest aboveground biomass[1],Land Use.Initial Mature Forest[1],Land Use.Initial Young Forest[1],cropland soil carbon.Initial fast soil carbon cropland[1],cropland soil carbon.Initial slow soil carbon cropland[1],degraded land soil carbon.Initial fast soil carbon degraded land[1],degraded land soil carbon.Initial slow soil carbon degraded land[1],forest soil carbon.Initial fast soil carbon mature forest[1],forest soil carbon.Initial fast soil carbon young forest[1],forest soil carbon.Initial slow soil carbon mature forest[1],forest soil carbon.Initial slow soil carbon young forest[1],grassland soil carbon.Initial fast soil carbon grassland[1],grassland soil carbon.Initial slow soil carbon grassland[1],Terrestrial Carbon Balance.Initial Commited future soil carbon loss due to land-use transitions[1],Ocean.Depth of warm surface ocean layer[1],Ocean.Thickness of intermediate ocean layer[1],Ocean.Depth of cold surface ocean layer[1],Ocean.Reference overturning strength in Sv[1],Ocean.Reference intermediate to warm surface ocean mixing strength[1],Ocean.Reference cold surface to deep ocean mixing strength[1],Ocean.Reference strength of biological carbon pump in low latitude ocean[1],Ocean.Reference strength of biological carbon pump in high latitude ocean[1],Ocean.High latitude carbon pump transfer efficiency[1],Crop.normal harvest index for food crops[1],Crop.sensitivity of effect of crop yield on harvest index[1],Crop.crop yield 1980 reference[1],Crop.harvest index for feed crops[1],Crop.sensitivity of effect of crop residue production on field fraction[1],soil carbon decay.cropland litter input share slow soil carbon[1],soil carbon decay.grassland litter input share slow soil carbon[1],soil carbon decay.mature forest litter input share slow soil carbon[1],soil carbon decay.young forest litter input share slow soil carbon[1],soil carbon decay.natural decay rate fast soil carbon[1],soil carbon decay.natural decay rate litter carbon[1],soil carbon decay.natural decay rate slow soil carbon[1],soil carbon decay.e0[1],soil carbon decay.temp_response[1],degraded land soil carbon.degraded land productivity reduction factor[1],Land Use.forest recovery time[1],Forest.tree net primary production in 1750[1],Grass.grass net primary production in 1750[1],Forest.forest aboveground biomass 1750[1],CO2 Forcing.Atmospheric CO2 Concentration 1750[1]
Run 44,4.178040874550151,10.9619284392834,151.0948228969227,0.3305471480226888,1.8636145316935528,0.4636146582536526,0.4373346894383375,-0.8082406226576793,0.0250431660654274,-0.0013940094871052,1.0022813447354806,0.9103945532654232,0.961537777613047,0.1624073924810426,2.110492231505233,1.3946410673376997,1.9648483616471195,0.9131264930362382,1.049996004959181,0.9717810122055608,0.0849414270445945,0.0002066291590679,0.001680189506063,-2.1307300194092564e-05,0.0001205747129259,-0.0002958211323794,0.0011331687996585,0.0011026582649868,0.4744045810500201,-0.0475179423917364,-0.0348173324377442,0.1066417680808304,0.0008296103664891,0.1193919134062651,-0.0189476445313758,0.7383725406604206,-1.730063012598697e-06,-8.199427368747491e-06,-0.458632373195608,0.6277400134338368,0.3929847531316259,-0.0173006301259869,-0.0819942736874749,108.257876327,8.48711249171,23478.2454738,9223.45108118,2851.36510863,8.13885758517,657.04954241,10.8466474391,4525.86170994,94.6656150643,2.91041098361,11.0724899084,0.000955542960168,0.000474622602543,374.565199407,5.91364697131,272.92946948,4.75465372516,129.789644324,118.054790495,0.182225586088,390.4905481101955,910.4160336750704,87.23086412395278,17.591333781127894,55.31341446466434,11.480518324456453,1.16351480437591,10.210471093724838,0.2581400464690521,0.4097072177305828,0.0975670694968416,5.5952905261594665,0.5261430098248523,0.4587770767384639,0.0165228369916505,0.0291994815467727,0.0249885558109711,0.0317936441073671,0.0338130178645199,0.7691426488104398,0.0011207949363411,298.3457354746638,57.95747855393155,0.017215301442359,59.788821186953626,0.0090925377521935,0.0036768449236629,658.6591577805509,277.7480629438109
Run 123,7.548634147188013,30.86538828373922,192.29376770505533,0.5540018239188225,1.4159928550962968,0.5153328454281594,0.3193479233069416,-0.6278859951589724,0.0084164607840776,-0.0037603511886082,0.796633681399999,0.986756251707898,1.00940892016518,0.9453576118676624,0.8607112838193112,1.1247728229639449,0.198130883634463,0.7985698432025646,0.9754571377981792,1.3341286159211876,0.051719315465422,0.0002103567069504,0.0015438127487473,-0.0001302641742139,-5.455732585075018e-05,-6.483366488510745e-05,0.0010209849941949,0.0009374199298183,0.4936167008559028,-0.0214780541565455,-0.0105982584974043,0.1216335402073051,0.0009023231132527,0.1356068475204419,-0.0356179442806497,0.70150425517549,-2.9693505263620733e-06,-5.797912393012141e-06,-0.024634235942425,0.9910261225389342,0.6028695629022722,-0.0296935052636207,-0.0579791239301214,608.799107572,8.38548771458,27127.8567622,6460.93468472,1411.4312924,8.1456615452,651.742880726,8.61563283036,4539.25964749,81.2676775066,2.98893886046,10.9455370368,0.00276774138252,0.00269630726172,370.177473742,4.76350935832,261.296157869,3.88124364468,142.005891214,100.939549583,0.19643986602,193.68068533352096,687.1111637821452,476.45766539751776,17.38343579156154,70.4477175265234,19.118515063202068,0.2767757426559744,7.844990954333887,0.4016998738173157,0.4376540926322385,0.0933588394206283,5.9780400413207415,0.645143598538135,0.2284340511743759,0.0288739412951019,0.0202226589857788,0.0220752054701015,0.0287058026770406,0.0322458591740415,0.7285460411150684,0.0009654887421673,292.9993482947228,59.15893952682176,0.0465552850670061,50.97471627881646,0.0079494726971172,0.0035459030644183,646.473370297352,278.5308717785486
Run 770,4.142029345344968,14.22481617306528,160.0383367417724,1.066858491037365,1.6474931936014796,1.698275073911832,1.099510052522067,-0.1156483348152253,0.0395184077113013,-0.0050681334139951,0.9991250631430236,1.0129994037466783,1.2312831010902203,1.051484053393743,1.3196152824515552,0.9667405891095276,1.3414117109967012,0.7794078263701705,1.0036584104405006,1.0631576359555042,0.0408385621222293,0.0002358639622295,0.0013763640540589,-9.29655955808986e-05,0.0001475012065902,-7.397182290072049e-05,-0.0001566371029183,0.000846099324029,0.4679174400767529,-0.0298520287100591,-0.0242853549208383,0.1171836190544289,0.0010559968332288,0.1122933934524874,-0.0493351235673321,0.6305802227875262,-3.654255069782061e-06,-9.010319990405889e-06,-0.164200478500985,0.7857196761874253,0.5405706667620052,-0.0365425506978206,-0.0901031999040588,69.9262150955,8.4420881534,28568.850071,4070.88059234,2888.15055948,8.1412801509,639.22936677,11.6695842923,4513.42537193,107.101953068,2.56997439887,12.6404944036,0.00448962499237,0.00422013012092,300.038088497,5.34039988173,300.582137649,5.85897342534,135.231749328,108.903669613,0.17104044436,395.8092632637883,422.4209082331138,55.59332158314199,14.900410642299612,81.22755461088644,21.811741793586485,1.7794818840216218,9.460367338975438,0.3755385372444026,0.446754708143764,0.0969107261053461,5.99748556006009,0.5754435760404057,0.6489503326491062,0.0234622688273288,0.0188097804683989,0.0263797644092532,0.0280350066582046,0.0340365619204369,0.7451667122727952,0.0008523647300017,297.33372239233387,58.53757617217987,0.078982325278027,66.60699227004937,0.0070913669788984,0.0036748684979074,645.9577799691572,278.3382877910139
Run 779,2.800928113045205,24.810819672136184,145.1133740411578,0.9641645234337152,1.0025227233491083,4.064317014143384,0.8624105932286437,-1.3039549567259356,0.005101219700954,-0.0029275969313261,0.9688288992347888,0.8567947916179612,0.928108940696326,1.4736016990893963,-0.3146307195089077,0.7438060828462669,1.9432227315810828,0.7950622337129531,0.8656112965356078,1.3924449843219169,-0.0016261141018888,0.0002678704112871,0.0009153273109248,-6.197564257868727e-05,0.0002900961314994,9.160481812494789e-05,0.0010747335197862,0.0009955699962227,0.4385556526811378,-0.0225320764222224,-0.0288028635448834,0.1296887946600536,0.0010541281147188,0.1133311817735701,-0.0146078924224731,0.8154193227559999,-2.533225028329584e-06,-1.2680543414857768e-05,-0.0422012737037068,0.7179570468267489,0.7156431252407508,-0.0253322502832958,-0.1268054341485776,540.287905599,8.35426242739,28206.9720691,5238.4798032,3103.80823126,8.14698115214,505.575369827,8.42059321677,4526.27638864,94.2509363627,3.92848488775,9.20095028553,0.00907694010493,0.00384471464694,460.053140661,7.43972560783,232.890861677,4.10322402137,218.468119105,82.3411321933,0.183739289244,426.0797698733389,529.27131906727,419.4046472867133,10.299229620519093,57.0490112553408,22.260979610334463,2.2866354439709933,8.270188166105795,0.4839237711492703,0.4377610787187103,0.0823844926125978,6.348911105767973,0.787900178963219,0.2887153041492762,0.0157815735306664,0.0133025723425471,0.0196936539708199,0.0237231247339695,0.0271437082969395,0.7742573192273305,0.0010111765480648,298.62228047327125,59.13063404038259,0.0987336251306061,50.18515510839396,0.0088948912602293,0.0048707522378584,509.40911675112585,279.6537781681288
Run 1026,4.351697996387461,28.06024578075524,183.7178738536492,1.2329490968025685,1.2844372700479778,0.8303226924517206,1.0354017450051456,-1.179969267136817,0.0103832086441685,-0.0006536573395962,0.9376240603181104,0.9493446405945936,0.991074754507348,1.2709410015593106,1.1025366514659514,0.795722760351725,0.708896950337087,0.9506813288489484,0.9910614775111058,1.550183400751488,-0.0267508994322864,0.0001786566397766,0.0012919661953216,-0.0001444856090724,0.0001315191110653,-4.2185428850981294e-05,0.0012074050364651,0.0011543560211541,0.4424976715782472,-0.032559123874633,-0.0217337935399932,0.1416003221907431,0.0011289025607559,0.1382561658853427,-0.0332892840792398,0.6551722203865189,-1.3423298413440762e-06,-1.2187791052719098e-05,-0.2093187312438836,0.8239930969001013,0.8824045106704035,-0.0134232984134407,-0.1218779105271909,457.286743957,8.4133585211,25220.767862,7046.04369847,2033.91205933,8.14357235914,607.319395727,10.8325771337,4520.20844657,100.318878432,3.18202804065,13.2388364473,0.00138956905968,0.000829088118376,398.682851983,6.85943563021,328.763362269,5.96996701919,162.023112032,113.054025615,0.198274688073,278.9273376346032,738.00805611751,360.608337721933,11.201635617227932,69.91986644109414,13.545568858995004,0.6507991381441329,7.215462587003148,0.2168155473717402,0.4024806214640998,0.0763659053742569,6.1445495767904905,0.6093909565421821,0.2863938729294022,0.0160356331200273,0.0174522927067064,0.0232547700710743,0.0230931528858068,0.0335488590771389,0.7055897452267698,0.0008977591308341,299.33022232573995,55.80580980913771,0.0203004069272225,60.34130921378949,0.0091159014330826,0.004271998115208,617.283266548265,278.3171131136883
Run 1527,4.0634063628652894,24.075524307039483,64.74888603073092,1.2064062513644622,1.8520095645803216,1.7418686739793925,0.7717936432058504,-1.124174268932946,0.0044478565187944,-0.0003570841629097,0.8670712575471833,1.0197769902880194,0.9766109540640712,0.1367983314622644,1.8257201440700417,1.0174268241680544,0.169784237132308,0.9901466203163846,1.0329944309449657,1.00213464882767,-0.0564179843211974,0.0002194947519106,0.0011098970172318,-3.989583515497144e-05,0.0002356551733341,-1.5262121416022344e-05,0.0015485282069276,0.0011750653117608,0.3011280734256674,-0.0372658566225925,-0.0112865799453078,0.1440513362817255,0.0009604823848308,0.1073118860400935,-0.0306302061771222,0.9027311395083172,-1.1870101617934532e-06,-2.985899082179157e-05,-0.2877642770432085,0.980701300820382,0.9167187079441576,-0.0118701016179345,-0.2985899082179157,147.119180067,8.59103343006,25973.3574349,4645.33007466,1926.09839861,8.13374903042,551.06862048,11.5921768461,4498.66386094,121.863464055,2.4837044601,7.82066442814,0.00439654009892,0.00349053069069,255.415026566,5.26096943998,189.937199549,4.4253338514,138.081839486,72.4538082605,0.117070029103,263.383854607972,473.0036839604061,122.66386511487477,14.054358420448448,78.24591094329978,26.08823831127105,0.8979173196769207,10.809621504656969,0.1578194278422887,0.4292920772235657,0.0693051704083123,6.220737450977736,0.7680107626706618,0.5093760538200285,0.0242521855196079,0.0154312738058961,0.0236501406515549,0.0343753893774332,0.0342065310739008,0.7768990527236498,0.0010494964295262,291.1830234003553,59.88639894049849,0.076071985820414,69.02877902691003,0.0061670950243534,0.0038174203655161,560.8960678728555,276.99122241179333
Run 1733,3.323915605722681,15.952012784375814,69.63564530201363,1.2501479342204846,1.640305353115218,4.631409869434408,0.7245268458645125,-0.2581363760797773,0.0377907233848818,-0.0005052064431569,0.895050491296476,0.9349127497491416,1.1274185425657766,1.0901050875942064,0.8285335960689921,1.2099700021626127,-0.3128811656000443,0.9887608065497294,0.8817306191208042,0.6697194430054805,-0.1319252010866481,0.0002315185622858,0.0012292553695055,-6.497774786057471e-05,0.000190472799979,-0.0002471457302999,7.39376640331627e-05,0.0011647221398623,0.4771620900349898,-0.0367122541492701,-0.0412781602850679,0.1471780394695352,0.0008354001037648,0.1133545864366995,-0.0164305964431716,0.8599254015902981,-1.2645839510327489e-06,-7.85473874562627e-06,-0.2785375691545023,0.5308275957239814,0.9604925525734928,-0.0126458395103274,-0.0785473874562626,628.288112046,8.39791207404,24110.0027035,7531.17807916,1293.22416697,8.14501593401,644.422734743,10.943585123,4521.53464584,98.9926791639,3.13551199277,11.0097681752,0.00603170931783,0.00491207843244,372.988144266,6.14966995927,315.885820944,5.39898585881,170.864284931,66.4246620487,0.214153804695,177.42613278650464,807.125195540048,493.3587888899419,28.27292237374697,80.59942468305627,15.304180172465776,0.3029969669053588,7.511019881517468,0.1478007030396748,0.423767417512345,0.0624129986325923,5.540642893709781,0.791120351373832,0.556582933011398,0.0269796990055532,0.0112257351260551,0.0295752005314067,0.0290961910402631,0.0314617724029922,0.7119021175686996,0.001051155943116,296.71414760647514,57.05631862270919,0.0849912472819357,61.80699996127912,0.0079728336042881,0.0041587069535067,652.5826635345574,278.21606892564665
Run 1839,3.667845958235641,21.803775323034152,68.22829247055174,1.7207522569483154,0.8001550187533644,4.085963629131226,1.1307517073706848,-0.9575987970606824,0.0080809110073854,-0.0025174010458161,1.1768360666472732,0.975361442253096,0.8828791648404762,-0.4397934179037888,1.395739323234888,1.4481034813297602,2.026689917627904,0.9071392934965796,1.017101201822621,0.9491753249527464,-0.0503862010387665,0.0002042990463243,0.0013750175445188,-8.489764305614807e-05,0.0001507693553254,0.0001074626532014,0.000436979098792,0.0010242134018524,0.3707213081738701,-0.0220309921739475,-0.0144588838370137,0.1150674466999078,0.0011683908610232,0.1347506118676247,-0.0359555960628949,0.7768047833729955,-2.3183994861068453e-06,-2.1159836478266232e-05,-0.0338498695657918,0.9331167424447938,0.5109442537987098,-0.0231839948610684,-0.2115983647826623,586.721688575,8.44691019347,27731.2022095,4299.89398794,2067.7711548,8.14279640403,619.026480179,9.52729766669,4528.0592323,92.4680927024,3.2087416228,11.8795815442,0.00139800931858,0.00135322965011,347.778817852,5.23296488021,222.981094982,4.12857959354,179.622144237,167.054166244,0.148852560397,283.5059419066333,434.7092145516675,467.1130575967441,24.042054240521225,73.7970816451826,18.81872249669428,2.7488077021210984,10.203100840584003,0.2844053252950737,0.4085138637266128,0.0826234983519301,5.837318037069271,0.5352082282415884,0.7367155960561184,0.0298642000317648,0.0292008146131872,0.0204598570467962,0.0289269652640401,0.0324920400248717,0.6955718745414434,0.0010133070768739,298.34777822042525,57.271006880100806,0.0184595174658425,56.23758785845799,0.0074375902145967,0.0045000162329374,614.8282577663649,276.9666747745636
Run 2573,4.683311715759737,23.12869802294812,107.62208038247476,1.262593268833301,2.044345911124007,1.850969619049728,0.3844684000177385,-1.097639182658865,0.0068097521015544,-0.0013317227796542,1.1173029467434623,0.9725582291326668,0.9542858801676458,1.401259146775612,0.384110041321219,0.969266419327174,-0.1572367430261495,0.977016874893356,1.0851806289450745,1.179020631634009,0.0128545996758755,0.0002426055845904,0.0011922150109121,3.3611315025929714e-05,7.94097903187431e-05,-0.0004149487201291,0.0008093315981111,0.0011070076587518,0.362323909281815,-0.0306129990365042,-0.0198496583660068,0.1371662964529573,0.001139322442172,0.1411315843076003,-0.034837392192184,0.9438644304867596,-1.6974425593613768e-06,-2.2209511339773123e-05,-0.1768833172750712,0.8522551245098973,0.8203281503414022,-0.0169744255936137,-0.2220951133977312,289.783646695,8.49447431949,25905.8530528,5389.95196684,2023.42515217,8.13750378531,525.209853695,11.9822774964,4496.66958232,123.85774268,3.71939353653,14.7298378919,0.00383005540901,0.0042628087851,439.986873873,9.66982340993,296.129914478,7.39477690436,219.696487747,166.407840554,0.155561147615,276.995637812302,520.8536640350418,234.02996426411937,22.66988852286528,56.59428482105212,26.37894130473565,2.279048155511316,11.554820133756738,0.1561938742254622,0.4185047644359411,0.0681490378255184,6.2629931670313415,0.7403786819525192,0.5855214336597384,0.028511379369484,0.0193498858385672,0.018025845629117,0.0275196633027351,0.0325867313533994,0.6068864260176078,0.0008426840374449,293.31088831930055,58.81295722169901,0.0417227727076328,67.97014584094265,0.0082882602260433,0.0047811349889495,526.313583427812,278.383599948839
Run 2645,5.070016461391012,21.52648524608834,47.09962757301895,1.647745590866586,1.4119623292052574,2.2454183053608068,0.867281172719304,-0.2873094459187337,0.0367836431642856,-0.0050809486469611,1.15495741074172,0.94132296525029,0.9903786387931582,0.1805344429037391,0.9423702234421516,0.956247238784235,-0.0753011273457512,1.0456065888130075,0.9780141419708528,1.2600442867006436,-0.0072963373802632,0.0002523153562429,0.0016470090201102,-4.665422421489038e-05,-1.4598660695116494e-05,6.045164353339539e-05,0.0023985534558276,0.0008452044542142,0.4304594012182362,-0.0398233247888922,-0.0178205315352195,0.113738194024366,0.0010679099874377,0.149554471407057,-0.019450740849173,0.7795974032362776,-3.660966593392829e-06,-1.3692574847720473e-05,-0.330388746481537,0.8826920269717066,0.4923347163411251,-0.0366096659339282,-0.1369257484772047,234.092361578,8.50855144558,26478.1048105,7207.1721646,2116.636902,8.13570124074,628.787133471,9.67777345973,4530.49830413,90.0290208687,3.58211081037,8.10638949575,0.00573978399844,0.00301562866897,445.420675046,6.66196131094,212.772298628,3.30287172016,186.036730106,73.9844674216,0.20757482947,289.6034665567907,740.1723365074257,189.8886193151376,13.994785854239511,88.33509769690346,21.51200219324108,2.192434872746502,11.060689677369313,0.3840039629180618,0.4473284441624471,0.0608738156647481,6.2598752610177,0.7294764864182919,0.5639978469886107,0.0212409751340053,0.0154179123668359,0.0203454671224965,0.0119850359089354,0.02857796170873,0.7408776699094577,0.0011608095212649,291.67576394639394,59.00131940575012,0.073528772174304,55.28054910679243,0.0086242538107906,0.0041658092276652,629.0684159044926,279.0425899495775
