Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine
1750,0.102215039,0.24641247,0.0,344.3627591056
1751,0.097800073,0.246419681,-1.7110334080656122e-10,344.36275828667266
1752,0.079453784,0.246422103,6.246976186321537e-10,344.36275828667266
1753,0.049375854,0.246422921,1.4204985780964658e-09,344.36275828667266
1754,0.013198096,-0.116728684,2.2162995375351808e-09,344.36275828667266
1755,-0.021216797,-0.00449655,3.012100496973896e-09,344.36275828667266
1756,-0.045694116,0.156275043,3.807901456412611e-09,344.36275828667266
1757,-0.053276001,0.215874996,4.6037024158769225e-09,344.36275828667266
1758,-0.034134082,0.236149688,5.3995033753156385e-09,344.36275828667266
1759,0.017223047,0.242971751,6.195304334754353e-09,344.36275828667266
1760,0.067722144,0.245263888,6.991105294193068e-09,344.36275828667266
1761,0.092605078,0.24603386,7.786906253631782e-09,344.36275828667266
1762,0.086458447,-0.890820615,8.582707213096095e-09,344.36275828667266
1763,0.064368018,-0.539512136,9.37850817253481e-09,344.36275828667266
1764,0.031029565,-0.035952273,1.0174309131973525e-08,344.36275828667266
1765,-0.005725415,0.150735204,1.097011009141224e-08,344.36275828667266
1766,-0.035569336,0.214242681,1.1765911050876553e-08,344.36275828667266
1767,-0.049687866,-0.313290227,1.2561712010315268e-08,344.36275828667266
1768,-0.036505371,-0.136472271,1.3357512969753982e-08,344.36275828667266
1769,0.019656738,0.108944764,1.4153313929192698e-08,344.36275828667266
1770,0.085803223,0.199839903,1.494911488863141e-08,344.36275828667266
1771,0.117472412,0.230757125,1.5744915848095725e-08,344.36275828667266
1772,0.109921729,0.241160054,1.6540716807534436e-08,344.36275828667266
1773,0.086988867,0.24465531,1.7336517766973153e-08,344.36275828667266
1774,0.051045117,0.245829436,1.8132318726411868e-08,344.36275828667266
1775,0.010296387,0.246223838,1.892811968587618e-08,344.36275828667266
1776,-0.025428955,0.246356319,1.9723920645314896e-08,344.36275828667266
1777,-0.04658335,0.246400822,2.051972160475361e-08,344.36275828667266
1778,-0.042776807,0.246415767,2.1315522564192324e-08,344.36275828667266
1779,0.00185647,0.246420787,2.211132352363104e-08,344.36275828667266
1780,0.073260352,0.24642247,2.2907124483095353e-08,344.36275828667266
1781,0.116037158,0.246423033,2.3702925442534067e-08,344.36275828667266
1782,0.115881152,0.24642323,2.449872640197278e-08,344.36275828667266
1783,0.09159104,-2.061152454,2.52945273614115e-08,344.36275828667266
1784,0.054726855,-1.349945154,2.6090328320850213e-08,344.36275828667266
1785,0.011201221,-0.327106143,2.6886129280314524e-08,344.36275828667266
1786,-0.025491357,0.052072679,2.768193023975324e-08,344.36275828667266
1787,-0.044789282,0.181061671,2.8477731199191953e-08,344.36275828667266
1788,-0.031091968,0.224464113,2.9273532158630674e-08,344.36275828667266
1789,0.037519409,0.23904683,3.006933311809498e-08,344.36275828667266
1790,0.117659619,0.243945479,3.08651340775337e-08,344.36275828667266
1791,0.14483584,0.245590991,3.1660935036972416e-08,344.36275828667266
1792,0.13073291,0.24614373,3.245673599641113e-08,344.36275828667266
1793,0.112558228,0.246329406,3.3252536955849845e-08,344.36275828667266
1794,0.081778271,0.246391779,3.404833791531415e-08,344.36275828667266
1795,0.045912524,0.025182313,3.484413887475287e-08,344.36275828667266
1796,0.008018701,0.093560599,3.563993983419159e-08,344.36275828667266
1797,-0.025850171,0.191504221,3.64357407936303e-08,344.36275828667266
1798,-0.050889111,0.227813019,3.723154175309462e-08,344.36275828667266
1799,-0.063119971,0.240164536,3.802734271253333e-08,344.36275828667266
1800,-0.060592676,0.2443206,3.882314367197204e-08,344.36275828667266
1801,-0.042386792,0.245716985,3.961894463141076e-08,344.36275828667266
1802,-0.01251167,0.246186063,4.041474559084947e-08,344.36275828667266
1803,0.015631787,0.246343628,4.121054655031379e-08,344.36275828667266
1804,0.032792432,0.24639656,4.20063475097525e-08,344.36275828667266
