,forest,non-forest,grass,cropland,degraded
2015.0,3721.0510000000004,4341.7627,3283.154,1588.540934375,58.5470125
2016.0,3717.2377,4341.0618,3273.39505,1601.3005687500001,60.060775
2017.0,3713.5942,4340.1908,3263.6361,1614.060078125,61.574537500000005
2018.0,3710.0414,4339.2292,3253.87705,1626.81974375,63.08830625
2019.0,3706.4588000000003,4338.2974,3244.11805,1639.57933125,64.60206875
2020.0,3702.9127000000003,4337.3292,3234.35915,1652.33885,66.11583125
2021.0,3696.0794000000005,4335.0887,3234.9077500000003,1659.28019375,67.6995375
2022.0,3689.2709,4332.8235,3235.4564,1666.221575,69.28325000000001
2023.0,3682.4890000000005,4330.5317000000005,3236.00515,1673.1628781250001,70.86695625
2024.0,3675.8020000000006,4328.1448,3236.55375,1680.1042,72.4506625
2025.0,3669.304,4325.5692,3237.1024,1687.045534375,74.034375
2026.0,3662.9750000000004,4322.8243999999995,3237.65105,1693.98691875,75.61808125
2027.0,3657.1624,4319.5634,3238.1999,1700.9282625,77.20178750000001
2028.0,3651.8361,4315.8158,3238.7485,1707.869578125,78.78549375
2029.0,3646.5334000000003,4312.044800000001,3239.2971000000002,1714.81099375,80.36920625
2030.0,3641.2963,4308.2082,3239.8458,1721.7523531250001,81.95291250000001
2031.0,3638.9076000000005,4305.6832,3234.20805,1730.7940531250001,83.46270625000001
2032.0,3636.5077,4303.169400000001,3228.5700500000003,1739.8359031250002,84.97250000000001
2033.0,3634.0649000000003,4300.698600000001,3222.93235,1748.877609375,86.48229375000001
2034.0,3631.6014000000005,4298.2482,3217.2944500000003,1757.9194125000001,87.99208750000001
2035.0,3629.1117000000004,4295.8244,3211.65655,1766.9611875,89.50188125000001
2036.0,3626.5286,4293.4936,3206.01865,1776.0030343750002,91.01167500000001
2037.0,3623.8648000000003,4291.2438,3200.3809,1785.044775,92.52146875000001
2038.0,3621.1661000000004,4289.0288,3194.7429500000003,1794.086540625,94.03126875000001
2039.0,3618.4261,4286.8552,3189.10505,1803.1283593750002,95.54106250000001
2040.0,3615.6593000000003,4284.7080000000005,3183.46725,1812.170125,97.05085625000001
2041.0,3612.313,4282.7196,3183.5878500000003,1816.0287125,98.40640625
2042.0,3608.965,4280.7326,3183.7087500000002,1819.8872781250002,99.76196250000001
2043.0,3605.6144000000004,4278.7484,3183.82935,1823.7458812500001,101.11751875
2044.0,3602.2574000000004,4276.7708,3183.9501,1827.6044375000001,102.47306875000001
2045.0,3598.8904,4274.8027999999995,3184.0707500000003,1831.4629625,103.828625
2046.0,3595.562,4272.796200000001,3184.1916,1835.3216,105.18417500000001
2047.0,3592.2872,4270.7364,3184.3122000000003,1839.1801656250002,106.5397375
2048.0,3589.0150000000003,4268.6738000000005,3184.4329500000003,1843.0387218750002,107.89528750000001
2049.0,3585.7094,4266.6444,3184.5537,1846.8973500000002,109.2508375
2050.0,3582.391,4264.6278,3184.6743500000002,1850.755903125,110.60638750000001
2051.0,3582.1892000000003,4263.519200000001,3183.9448500000003,1852.13160625,111.27078750000001
2052.0,3581.9746000000005,4262.423,3183.21525,1853.507403125,111.93518750000001
2053.0,3581.7506000000003,4261.3366000000005,3182.4856,1854.883171875,112.5995875
2054.0,3581.5252,4260.2514,3181.7561,1856.2588875000001,113.2639875
2055.0,3581.2986,4259.1674,3181.0264,1857.6347312500002,113.9283875
2056.0,3581.0654000000004,4258.09,3180.2968,1859.010490625,114.5927875
2057.0,3580.7912,4257.0536,3179.5673,1860.3862281250001,115.2571875
2058.0,3580.4974,4256.0368,3178.83765,1861.761915625,115.9215875
2059.0,3580.2026,4255.0212,3178.1081000000004,1863.1377218750001,116.5859875
2060.0,3579.9066000000003,4254.006600000001,3177.3787,1864.513571875,117.250375
2061.0,3579.7324000000003,4253.776,3176.6299000000004,1865.1738031250002,117.7434375
2062.0,3579.5578,4253.546,3175.8813,1865.8341750000002,118.2365
2063.0,3579.3816,4253.3174,3175.1325500000003,1866.4943968750001,118.7295625
2064.0,3579.2042,4253.090200000001,3174.38375,1867.1547937500002,119.22261250000001
2065.0,3579.0246,4252.8652,3173.6352,1867.8150593750001,119.715675
2066.0,3578.8426,4252.6422,3172.88645,1868.475428125,120.20873750000001
2067.0,3578.6582,4252.4222,3172.1377500000003,1869.135725,120.70178750000001
2068.0,3578.4618,4252.2138,3171.389,1869.79608125,121.19485
2069.0,3578.264,4252.0068,3170.6404,1870.456346875,121.68791250000001
2070.0,3578.0645000000004,4251.801600000001,3169.8918000000003,1871.116675,122.1809625
2071.0,3577.9495,4253.442000000001,3168.47915,1870.6971437500001,122.48796250000001
2072.0,3577.8343000000004,4255.0824,3167.0664,1870.277575,122.79495
2073.0,3577.7192000000005,4256.722600000001,3165.6539000000002,1869.8579656250001,123.1019375
2074.0,3577.6042,4258.362800000001,3164.2411500000003,1869.4384125000001,123.40892500000001
2075.0,3577.4892,4260.003000000001,3162.8285,1869.0188218750002,123.7159125
2076.0,3577.3744,4261.6432,3161.4158500000003,1868.599265625,124.0229
2077.0,3577.2599,4263.2828,3160.00325,1868.1797437500002,124.32988750000001
2078.0,3577.1454000000003,4264.9224,3158.5907500000003,1867.760184375,124.636875
2079.0,3577.0311,4266.5622,3157.1781,1867.3406281250002,124.94386250000001
2080.0,3576.9166000000005,4268.2016,3155.7654500000003,1866.921071875,125.25085
2081.0,3578.785,4274.0942000000005,3149.5659,1865.253203125,125.3575
2082.0,3580.6889,4279.951,3143.3661500000003,1863.585271875,125.46415
