,forest,non-forest,grass,cropland,degraded
2100.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2101.0,3627.4884,4356.4766,3091.2211,1792.5130875,125.35643750000001
2102.0,3627.4885000000004,4356.4766,3091.2211,1792.5130875,125.35643750000001
2103.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2104.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2105.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2106.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2107.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2108.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2109.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2110.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2111.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2112.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2113.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2114.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2115.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2116.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2117.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2118.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2119.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2120.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2121.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2122.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2123.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2124.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2125.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2126.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2127.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2128.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2129.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2130.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2131.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2132.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2133.0,3627.4886,4356.4768,3091.2211,1792.513075,125.35643750000001
2134.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2135.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2136.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2137.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2138.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2139.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2140.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2141.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2142.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2143.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2144.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2145.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2146.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2147.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2148.0,3627.4886,4356.4766,3091.2211,1792.513075,125.35643750000001
2149.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2150.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2151.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2152.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2153.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2154.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2155.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2156.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2157.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2158.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2159.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2160.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2161.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2162.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2163.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2164.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2165.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2166.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2167.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2168.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2169.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2170.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2171.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2172.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2173.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2174.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2175.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2176.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2177.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2178.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2179.0,3627.4885,4356.4766,3091.2211,1792.513075,125.35643750000001
2180.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2181.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
2182.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2183.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2184.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2185.0,3627.4884,4356.4766,3091.2211,1792.513075,125.35643750000001
2186.0,3627.4885000000004,4356.4766,3091.2211,1792.513075,125.35643750000001
