,Crop Production
1750,0.29533049764467023
1751,0.29670175330438514
1752,0.2980730089641001
1753,0.299444264623815
1754,0.3008155202835299
1755,0.30218677594324483
1756,0.3035580316029598
1757,0.3049292872626747
1758,0.3063005429223896
1759,0.3076717985821046
1760,0.3090430542418195
1761,0.3105993947261486
1762,0.3121557352104778
1763,0.31371207569480697
1764,0.3152684161791361
1765,0.3168247566634652
1766,0.3183810971477944
1767,0.31993743763212357
1768,0.3214937781164527
1769,0.3230501186007818
1770,0.324606459085111
1771,0.3274682469011972
1772,0.3303300347172834
1773,0.3331918225333696
1774,0.3360536103494558
1775,0.338915398165542
1776,0.3417771859816282
1777,0.3446389737977144
1778,0.3475007616138006
1779,0.3503625494298868
1780,0.353224337245973
1781,0.35484419266550626
1782,0.3564640480850395
1783,0.35808390350457275
1784,0.359703758924106
1785,0.36132361434363924
1786,0.3629434697631725
1787,0.36456332518270573
1788,0.366183180602239
1789,0.3678030360217722
1790,0.36942289144130547
1791,0.36991808863335185
1792,0.37041328582539823
1793,0.37090848301744456
1794,0.37140368020949094
1795,0.3718988774015373
1796,0.3723940745935837
1797,0.3728892717856301
1798,0.3733844689776764
1799,0.3738796661697228
1800,0.3743748633617692
1801,0.37727767380163174
1802,0.38018048424149437
1803,0.38308329468135693
1804,0.3859861051212195
1805,0.38888891556108207
1806,0.3917917260009447
1807,0.39469453644080726
1808,0.39759734688066983
1809,0.40050015732053246
1810,0.403402967760395
1811,0.40484148456470287
1812,0.40628000136901077
1813,0.4077185181733186
1814,0.40915703497762645
1815,0.4105955517819343
1816,0.4120340685862422
1817,0.41347258539055004
1818,0.4149111021948579
1819,0.4163496189991658
1820,0.4177881358034736
1821,0.4210258367874025
1822,0.4242635377713314
1823,0.42750123875526025
1824,0.43073893973918914
1825,0.43397664072311803
1826,0.4372143417070469
1827,0.4404520426909758
1828,0.44368974367490466
1829,0.44692744465883355
1830,0.45016514564276244
1831,0.4525782364358538
1832,0.45499132722894525
1833,0.45740441802203663
1834,0.45981750881512806
1835,0.46223059960821944
1836,0.4646436904013108
1837,0.46705678119440225
1838,0.4694698719874936
1839,0.47188296278058506
1840,0.47429605357367643
1841,0.4773258662829403
1842,0.4803556789922042
1843,0.4833854917014681
1844,0.486415304410732
1845,0.4894451171199959
1846,0.4924749298292598
1847,0.49550474253852367
1848,0.49853455524778756
1849,0.5015643679570514
1850,0.5045941806663153
1851,0.5069096893541609
1852,0.5092251980420065
1853,0.5115407067298521
1854,0.5138562154176977
1855,0.5161717241055432
1856,0.5184872327933888
1857,0.5208027414812344
1858,0.52311825016908
1859,0.5254337588569256
1860,0.5277492675447711
1861,0.5277755035564052
1862,0.5278017395680393
1863,0.5278279755796735
1864,0.5278542115913076
1865,0.5278804476029417
1866,0.5279066836145758
1867,0.5279329196262099
1868,0.5279591556378441
1869,0.5279853916494782
1870,0.5280116276611123
1871,0.5311855778466874
1872,0.5343595280322624
1873,0.5375334782178375
1874,0.5407074284034125
1875,0.5438813785889876
1876,0.5470553287745626
1877,0.5502292789601376
1878,0.5534032291457127
1879,0.5565771793312877
1880,0.5597511295168628
1881,0.5644827751452868
1882,0.5692144207737106
1883,0.5739460664021346
1884,0.5786777120305585
1885,0.5834093576589825
1886,0.5881410032874065
1887,0.5928726489158304
1888,0.5976042945442543
1889,0.6023359401726782
1890,0.6070675858011022
1891,0.6118597278182502
1892,0.6166518698353981
1893,0.621444011852546
1894,0.626236153869694
1895,0.6310282958868421
1896,0.63582043790399
1897,0.640612579921138
1898,0.6454047219382859
1899,0.6501968639554339
1900,0.6549890059725818
1901,0.6600694630892712
1902,0.6651499202059605
1903,0.6702303773226499
1904,0.6753108344393393
1905,0.6803912915560286
1906,0.685471748672718
1907,0.6905522057894073
1908,0.6956326629060967
1909,0.7007131200227861
1910,0.7057935771394754
1911,0.7107977400547736
1912,0.7158019029700717
1913,0.7208060658853699
1914,0.725810228800668
1915,0.7308143917159662
1916,0.7358185546312643
1917,0.7408227175465625
1918,0.7458268804618606
1919,0.7508310433771588
1920,0.7558352062924569
1921,0.7628353937317403
1922,0.7698355811710237
1923,0.7768357686103071
1924,0.7838359560495904
1925,0.7908361434888738
1926,0.7978363309281572
1927,0.8048365183674406
1928,0.811836705806724
1929,0.8188368932460073
1930,0.8258370806852907
1931,0.8345429200194139
1932,0.8432487593535369
1933,0.8519545986876601
1934,0.8606604380217833
1935,0.8693662773559063
1936,0.8780721166900295
1937,0.8867779560241527
1938,0.8954837953582758
1939,0.9041896346923989
1940,0.912895474026522
1941,0.9193500623652131
1942,0.9258046507039042
1943,0.9322592390425952
1944,0.9387138273812863
1945,0.9451684157199773
1946,0.9516230040586684
1947,0.9580775923973595
1948,0.9645321807360505
1949,0.9709867690747416
1950,0.9774413574134326
1951,0.9946269753668113
1952,1.013116239451012
1953,1.0327270347724908
1954,1.0530312716747814
1955,1.0743275334592817
1956,1.0959677437796471
1957,1.1183968336112597
1958,1.141383809578627
1959,1.162829751937105
1960,1.1822447714348714
1961,1.2016120337415939
1962,1.2245493525963353
1963,1.2517714392137778
1964,1.2798740951816276
1965,1.307336460325785
1966,1.334587510749826
1967,1.361785387677282
1968,1.389925233257489
1969,1.419056974340186
1970,1.4485368139112746
1971,1.4780056130796098
1972,1.5074374731617723
1973,1.5371898436634146
1974,1.5668339049128033
1975,1.5959714559290374
1976,1.6247922136443465
1977,1.6536546433912132
1978,1.6827586834917885
1979,1.7127285115058175
1980,1.743727390525495
1981,1.846259254761006
1982,1.9520587043310198
1983,1.9218904581592242
1984,2.033607399169241
1985,2.05644190133247
1986,2.0705727584952127
1987,2.0922349046582274
1988,2.07615800118097
1989,2.189572460418711
1990,2.23984545499682
1991,2.22283028316729
1992,2.2665132745650802
1993,2.2093028880004097
1994,2.25133987625387
1995,2.27703492476381
1996,2.39788215414882
1997,2.41366168167588
1998,2.42085098534485
1999,2.41730312620501
2000,2.40802348784708
2001,2.4326885611164597
2002,2.45087957708679
2003,2.49879830262244
2004,2.59386504335209
2005,2.5884174345551902
2006,2.63176303023391
2007,2.76573419723505
2008,2.88329751705229
2009,2.85906490263657
2010,2.95579892163169
2011,3.10261310686743
2012,3.12523961285074
2013,3.26094550947073
2014,3.31138998845078
2015,3.31949400984368
2016,3.3890599902809
2017,3.47874354970314
2018,3.49038997360622
2019,3.52483939480441
2020,3.5350564574353203
