Year,Forest.cutting exogenous
1850,0.258500808
1851,0.259579181
1852,0.26069501
1853,0.261843613
1854,0.263033115
1855,0.264257471
1856,0.265521097
1857,0.26682751
1858,0.268171687
1859,0.269561049
1860,0.283318574
1861,0.284294479
1862,0.285298515
1863,0.286359386
1864,0.287475477
1865,0.288626638
1866,0.28981058
1867,0.291025973
1868,0.292280656
1869,0.293569079
1870,0.27955169
1871,0.28303389
1872,0.286605888
1873,0.290213953
1874,0.293853753
1875,0.297527315
1876,0.301238506
1877,0.304982686
1878,0.308765703
1879,0.31258276
1880,0.310082462
1881,0.314549417
1882,0.319069895
1883,0.323645969
1884,0.32827881
1885,0.33296971
1886,0.337796363
1887,0.342709548
1888,0.347676988
1889,0.352694037
1890,0.356793479
1891,0.362442799
1892,0.368138777
1893,0.373884816
1894,0.379685724
1895,0.38553517
1896,0.391436922
1897,0.397393126
1898,0.403400815
1899,0.409464139
1900,0.420933079
1901,0.428775879
1902,0.436629157
1903,0.444501448
1904,0.452381108
1905,0.460277416
1906,0.468189109
1907,0.476110354
1908,0.484052774
1909,0.492003046
1910,0.514650237
1911,0.519378363
1912,0.524078698
1913,0.528745189
1914,0.533378757
1915,0.537978947
1916,0.54253962
1917,0.547072827
1918,0.551568107
1919,0.556003462
1920,0.557928859
1921,0.564895223
1922,0.571790481
1923,0.578596583
1924,0.58535419
1925,0.592047592
1926,0.598664091
1927,0.6052132
1928,0.611673183
1929,0.618080967
1930,0.624421676
1931,0.629976
1932,0.635530134
1933,0.641123278
1934,0.646737899
1935,0.652362527
1936,0.657997842
1937,0.663670141
1938,0.669359004
1939,0.675049793
1940,0.680777331
1941,0.688691113
1942,0.696510304
1943,0.704229196
1944,0.711860013
1945,0.71939863
1946,0.726841615
1947,0.734189445
1948,0.741438847
1949,0.748598216
1950,0.755663665
1951,0.769727607
1952,0.78377838
1953,0.797820988
1954,0.811871249
1955,0.825909216
1956,0.839942981
1957,0.853975741
1958,0.867996044
1959,0.882012628
1960,0.896027621
1961,0.932990718
1962,0.936335778
1963,0.945752354
1964,0.969997915
1965,0.978234714
1966,0.990874879
1967,1.001782002
1968,1.01018768
1969,1.017709844
1970,1.03658654
1971,1.046273885
1972,1.050435686
1973,1.073968664
1974,1.07833042
1975,1.061764365
1976,1.095807094
1977,1.10245272
1978,1.122123737
1979,1.144815391
1980,1.150709013
1981,1.148213685
1982,1.151183356
1983,1.179447426
1984,1.208672447
1985,1.209863422
1986,1.236310964
1987,1.254074896
1988,1.268578894
1989,1.28300231
1990,1.297417607
1991,1.270894287
1992,1.247722426
1993,1.230302686
1994,1.227719756
1995,1.242631473
1996,1.231397646
1997,1.252169812
1998,1.244723722
1999,1.264664775
2000,1.289144157
2001,1.260171346
2002,1.282526355
2003,1.304650964
2004,1.318993
2005,1.329185514
2006,1.318015356
2007,1.333290346
2008,1.297788976
2009,1.263543187
2010,1.321227431
2011,1.342646237
2012,1.355625391
2013,1.36274517
2014,1.378058136
2015,
2016,1.354079265
2017,1.328442471
2018,1.302945344
2019,1.277614782
2020,1.253383961
2021,1.232917741
2022,1.217830984
2023,1.204142792
2024,1.195951128
2025,1.189842353
2026,1.186018258
2027,1.183697399
2028,1.183994006
2029,1.185119785
2030,1.187426243
2031,1.189937588
2032,1.19166192
2033,1.193593629
2034,1.194409207
2035,1.19576063
2036,1.195712894
2037,1.195185106
2038,1.195700895
2039,1.195487384
2040,1.19592418
2041,1.194277305
2042,1.193389315
2043,1.192534942
2044,1.191090276
2045,1.189963778
2046,1.186550776
2047,1.183599027
2048,1.180884507
2049,1.177432075
2050,1.172912393
2051,1.169084547
2052,1.165467732
2053,1.161277123
2054,1.157258607
2055,1.153602656
2056,1.148969634
2057,1.144047233
2058,1.139888849
2059,1.135415147
2060,1.131072276
2061,1.125845569
2062,1.120678204
2063,1.116242849
2064,1.111788044
2065,1.107376907
2066,1.100973993
2067,1.095903072
2068,1.090903156
2069,1.085628793
2070,1.081437129
2071,1.075805661
2072,1.070461749
2073,1.064941141
2074,1.059825832
2075,1.054811835
2076,1.048863041
2077,1.042540666
2078,1.037421911
2079,1.031128228
2080,1.025761301
2081,1.019588102
2082,1.013431335
2083,1.007490321
2084,1.002146055
2085,0.99545083
2086,0.989117008
2087,0.982122668
2088,0.976007153
2089,0.969847664
2090,0.963212852
2091,0.956757724
2092,0.949601556
2093,0.942517788
2094,0.936504511
2095,0.92965373
2096,0.921945447
2097,0.915443746
2098,0.908340575
2099,0.901465036
2100,
