,forest,non-forest,grass,cropland,degraded
2015.0,3721.0510000000004,4341.7627,3283.154,1588.540934375,58.5470125
2016.0,3714.5816000000004,4323.9668,3297.02655,1597.92290625,59.557725000000005
2017.0,3708.1046,4306.1783,3310.8993,1607.304971875,60.56843125
2018.0,3701.628,4288.3894,3324.7719500000003,1616.6869281250001,61.57914375
2019.0,3695.1509000000005,4270.6011,3338.6447500000004,1626.068996875,62.589856250000004
2020.0,3688.6713,4252.8153,3352.5174,1635.45098125,63.6005625
2021.0,3683.2612,4241.4024,3359.7112,1644.1165125,64.564175
2022.0,3677.8102,4230.0302,3366.9052,1652.782175,65.5277875
2023.0,3672.3639000000003,4218.6535,3374.099,1661.447840625,66.49139375
2024.0,3666.9069,4207.2875,3381.293,1670.113353125,67.45500625
2025.0,3661.4529,4195.9183,3388.4868,1678.778953125,68.41861875000001
2026.0,3657.8654,4187.834400000001,3391.5459,1686.42754375,69.382225
2027.0,3654.2781000000004,4179.7504,3394.6052,1694.0761875,70.3458375
2028.0,3650.6978,4171.6592,3397.6644,1701.724778125,71.30945
2029.0,3647.0984000000003,4163.5872,3400.7236000000003,1709.3734187500002,72.27305625000001
2030.0,3643.4785,4155.5357,3403.7828,1717.0220125,73.23666875
2031.0,3640.3105000000005,4150.2743,3404.8653000000004,1723.526309375,74.07925625
2032.0,3637.1415,4145.0139,3405.9478000000004,1730.03064375,74.92185
2033.0,3633.9985,4139.7272,3407.0304,1736.5349375,75.7644375
2034.0,3630.7957,4134.5006,3408.1129,1743.0392718750002,76.60702500000001
2035.0,3627.5773000000004,4129.2895,3409.1954,1749.5436468750001,77.44961875
2036.0,3624.7582,4124.571400000001,3409.7374,1755.696453125,78.29220625
2037.0,3621.9398,4119.8526,3410.2792,1761.849290625,79.13479375
2038.0,3619.1752000000006,4115.0798,3410.8210000000004,1768.0021718750002,79.9773875
2039.0,3616.4223,4110.2952000000005,3411.3630000000003,1774.1550125,80.819975
2040.0,3613.6647000000003,4105.5158,3411.9048000000003,1780.307909375,81.6625625
2041.0,3610.2355000000002,4101.4547999999995,3412.4461,1786.507084375,82.412025
2042.0,3606.7858,4097.4146,3412.9874,1792.7064125000002,83.1614875
2043.0,3603.3578,4093.3526,3413.5287000000003,1798.905571875,83.91095
2044.0,3599.9186,4089.3018,3414.07,1805.104828125,84.6604125
2045.0,3596.4804000000004,4085.25,3414.6113,1811.30414375,85.409875
2046.0,3593.3754,4081.6014,3414.8932,1817.0263656250002,86.15933125000001
2047.0,3590.2576000000004,4077.9654,3415.1749,1822.7485875,86.90879375
2048.0,3587.1554,4074.3140000000003,3415.4569,1828.4708312500002,87.65825625000001
2049.0,3584.0668,4070.6494000000002,3415.7387000000003,1834.193125,88.40771875
2050.0,3580.983,4066.9796,3416.0205,1839.91535625,89.15718125000001
2051.0,3576.2672000000002,4062.8904,3416.2257,1848.08764375,89.58460625000001
2052.0,3571.5574,4058.7956000000004,3416.4309000000003,1856.25984375,90.01203125
2053.0,3566.8588,4054.6892,3416.636,1864.4321125000001,90.43945625
2054.0,3562.1654,4050.5780000000004,3416.8411,1872.604296875,90.86687500000001
2055.0,3557.4674000000005,4046.471,3417.0462,1880.7766250000002,91.2943
2056.0,3552.2646000000004,4042.7309999999998,3418.0065,1888.3317187500002,91.721725
2057.0,3547.0712000000003,4038.9818000000005,3418.9668,1895.88680625,92.14915
2058.0,3541.8814,4035.2284,3419.9271000000003,1903.441890625,92.576575
2059.0,3536.6588,4031.5084000000006,3420.8875000000003,1910.9970156250001,93.00399375
2060.0,3531.4252,4027.799,3421.8479,1918.5521062500002,93.43141875
2061.0,3526.4438,4024.0300000000007,3423.2568,1925.55671875,93.7684875
2062.0,3521.4728,4020.2502,3424.6655,1932.5614375,94.1055625
2063.0,3516.4868,4016.4854000000005,3426.0745,1939.566009375,94.44263125
2064.0,3511.4926,4012.7292,3427.4835000000003,1946.5705875,94.7797
2065.0,3506.4978,4008.9736000000003,3428.8923,1953.5752468750002,95.11676875
2066.0,3501.5738,4005.5324,3430.3675000000003,1960.128084375,95.45384375
2067.0,3496.6742000000004,4002.0668,3431.8428000000004,1966.6810312500002,95.7909125
2068.0,3491.7483,3998.6276,3433.3179,1973.233825,96.12798125
2069.0,3486.8097,3995.201,3434.7932,1979.7867531250001,96.46505625
2070.0,3481.8716000000004,3991.7742,3436.2683,1986.3396031250002,96.802125
2071.0,3477.3867,3988.7612,3437.3031,1992.54485,97.05981875
