Year,Emissions.CO2 Emissions from Fossil use
0,36700.0
1,36700.0
2,36700.0
3,36700.0
4,36700.0
5,36700.0
6,36700.0
7,36700.0
8,36700.0
9,36700.0
10,36700.0
11,36700.0
12,36700.0
13,36700.0
14,36700.0
15,36700.0
16,36700.0
17,36700.0
18,36700.0
19,36700.0
20,36700.0
21,36700.0
22,36700.0
23,36700.0
24,36700.0
25,36700.0
26,36700.0
27,36700.0
28,36700.0
29,36700.0
30,36700.0
31,36700.0
32,36700.0
33,36700.0
34,36700.0
35,36700.0
36,36700.0
37,36700.0
38,36700.0
39,36700.0
40,36700.0
41,36700.0
42,36700.0
43,36700.0
44,36700.0
45,36700.0
46,36700.0
47,36700.0
48,36700.0
49,36700.0
50,36700.0
51,36700.0
52,36700.0
53,36700.0
54,36700.0
55,36700.0
56,36700.0
57,36700.0
58,36700.0
59,36700.0
60,36700.0
61,36700.0
62,36700.0
63,36700.0
64,36700.0
65,36700.0
66,36700.0
67,36700.0
68,36700.0
69,36700.0
70,36700.0
71,36700.0
72,36700.0
73,36700.0
74,36700.0
75,36700.0
76,36700.0
77,36700.0
78,36700.0
79,36700.0
80,36700.0
81,36700.0
82,36700.0
83,36700.0
84,36700.0
85,36700.0
86,36700.0
87,36700.0
88,36700.0
89,36700.0
90,36700.0
91,36700.0
92,36700.0
93,36700.0
94,36700.0
95,36700.0
96,36700.0
97,36700.0
98,36700.0
99,36700.0
100,36700.0
101,36700.0
102,36700.0
103,36700.0
104,36700.0
105,36700.0
106,36700.0
107,36700.0
108,36700.0
109,36700.0
110,36700.0
111,36700.0
112,36700.0
113,36700.0
114,36700.0
115,36700.0
116,36700.0
117,36700.0
118,36700.0
119,36700.0
120,36700.0
121,36700.0
122,36700.0
123,36700.0
124,36700.0
125,36700.0
126,36700.0
127,36700.0
128,36700.0
129,36700.0
130,36700.0
131,36700.0
132,36700.0
133,36700.0
134,36700.0
135,36700.0
136,36700.0
137,36700.0
138,36700.0
139,36700.0
140,36700.0
141,36700.0
142,36700.0
143,36700.0
144,36700.0
145,36700.0
146,36700.0
147,36700.0
148,36700.0
149,36700.0
150,36700.0
151,36700.0
152,36700.0
153,36700.0
154,36700.0
155,36700.0
156,36700.0
157,36700.0
158,36700.0
159,36700.0
160,36700.0
161,36700.0
162,36700.0
163,36700.0
164,36700.0
165,36700.0
166,36700.0
167,36700.0
168,36700.0
169,36700.0
170,36700.0
171,36700.0
