Year,Emissions.CO2 Emissions from Fossil use
0,36700.0
1,36700.0
2,36700.0
3,36700.0
4,36700.0
5,36700.0
6,36700.0
7,36700.0
8,36700.0
9,36700.0
10,36700.0
11,36700.0
12,36700.0
13,36700.0
14,36700.0
15,36700.0
16,36700.0
17,36700.0
18,36700.0
19,36700.0
20,36700.0
21,36700.0
22,36700.0
23,36700.0
24,36700.0
25,36700.0
26,36700.0
27,36700.0
28,36700.0
29,36700.0
30,36700.0
31,36700.0
32,36700.0
33,36700.0
34,36700.0
35,36700.0
36,36700.0
37,36700.0
38,36700.0
39,36700.0
40,36700.0
41,36700.0
42,36700.0
43,36700.0
44,36700.0
45,36700.0
46,36700.0
47,36700.0
48,36700.0
49,36700.0
50,36700.0
51,36700.0
52,36700.0
53,36700.0
54,36700.0
55,36700.0
56,36700.0
57,36700.0
58,36700.0
59,36700.0
60,36700.0
61,36700.0
62,36700.0
63,36700.0
64,36700.0
65,36700.0
66,36700.0
67,36700.0
68,36700.0
69,36700.0
70,36700.0
71,36700.0
72,36700.0
73,36700.0
74,36700.0
75,36700.0
76,36700.0
77,36700.0
78,36700.0
79,36700.0
80,36700.0
81,36700.0
82,36700.0
83,36700.0
84,36700.0
85,36700.0
86,36700.0
87,36700.0
88,36700.0
89,36700.0
90,36700.0
91,36700.0
92,36700.0
93,36700.0
94,36700.0
95,36700.0
96,36700.0
97,36700.0
98,36700.0
99,36700.0
100,36700.0
101,35966.0
102,35232.00000000001
103,34498.00000000001
104,33764.00000000001
105,33030.000000000015
106,32296.000000000015
107,31562.00000000002
108,30828.000000000022
109,30094.000000000022
110,29360.000000000025
111,28626.00000000003
112,27892.000000000033
113,27158.000000000033
114,26424.000000000036
115,25690.00000000004
116,24956.00000000004
117,24222.000000000044
118,23488.000000000047
119,22754.00000000005
120,22020.00000000005
121,21286.000000000055
122,20552.00000000006
123,19818.00000000006
124,19084.000000000062
125,18350.000000000065
126,17616.00000000007
127,16882.00000000007
128,16148.000000000073
129,15414.000000000076
130,14680.000000000078
131,13946.00000000008
132,13212.000000000084
133,12478.000000000085
134,11744.00000000009
135,11010.000000000091
136,10276.000000000095
137,9542.000000000096
138,8808.000000000098
139,8074.000000000102
140,7340.000000000105
141,6606.000000000107
142,5872.000000000109
143,5138.000000000112
144,4404.000000000115
145,3670.0000000001173
146,2936.00000000012
147,2202.000000000123
148,1468.000000000125
149,734.0000000001278
150,0.0
151,0.0
