Year,Sea Level.Global population exogenous
1750,753.2792959999999
1751,756.7768639999999
1752,760.2744319999999
1753,763.7719999999999
1754,767.2695679999999
1755,770.7671359999999
1756,774.2647039999999
1757,777.7622719999999
1758,781.2598399999999
1759,784.7574079999999
1760,788.2549759999999
1761,792.2246272
1762,796.1942783999999
1763,800.1639296
1764,804.1335807999999
1765,808.1032319999999
1766,812.0728832
1767,816.0425343999999
1768,820.0121856
1769,823.9818367999999
1770,827.9514879999999
1771,835.2508544
1772,842.5502207999999
1773,849.8495872
1774,857.1489535999999
1775,864.44832
1776,871.7476864
1777,879.0470528
1778,886.3464192
1779,893.6457856
1780,900.945152
1781,905.0768064
1782,909.2084608
1783,913.3401152
1784,917.4717696
1785,921.6034239999999
1786,925.7350783999999
1787,929.8667327999999
1788,933.9983871999999
1789,938.1300415999999
1790,942.2616959999999
1791,943.5247615999999
1792,944.7878271999999
1793,946.0508927999999
1794,947.3139583999999
1795,948.5770239999999
1796,949.8400895999999
1797,951.1031552
1798,952.3662208
1799,953.6292864
1800,954.892352
1801,962.296352
1802,969.700352
1803,977.104352
1804,984.508352
1805,991.912352
1806,999.316352
1807,1006.720352
1808,1014.124352
1809,1021.528352
1810,1028.932352
1811,1032.6014784
1812,1036.2706048
1813,1039.9397312
1814,1043.6088576
1815,1047.2779839999998
1816,1050.9471104
1817,1054.6162368
1818,1058.2853632
1819,1061.9544895999998
1820,1065.6236159999999
1821,1073.8817983999998
1822,1082.1399807999999
1823,1090.3981632
1824,1098.6563456
1825,1106.9145279999998
1826,1115.1727104
1827,1123.4308928
1828,1131.6890752
1829,1139.9472575999998
1830,1148.20544
1831,1154.3603456
1832,1160.5152512
1833,1166.6701567999999
1834,1172.8250624
1835,1178.979968
1836,1185.1348736
1837,1191.2897791999999
1838,1197.4446848
1839,1203.5995904000001
1840,1209.754496
1841,1217.482432
1842,1225.210368
1843,1232.938304
1844,1240.66624
1845,1248.394176
1846,1256.122112
1847,1263.850048
1848,1271.577984
1849,1279.30592
1850,1287.033856
1851,1292.9398656
1852,1298.8458752
1853,1304.7518848
1854,1310.6578944
1855,1316.563904
1856,1322.4699136
1857,1328.3759232
1858,1334.2819328
1859,1340.1879423999999
1860,1346.093952
1861,1346.1608704
1862,1346.2277887999999
1863,1346.2947072
1864,1346.3616256
1865,1346.4285439999999
1866,1346.4954624
1867,1346.5623808
1868,1346.6292992
1869,1346.6962176
1870,1346.763136
1871,1354.8587136
1872,1362.9542912
1873,1371.0498688
1874,1379.1454464
1875,1387.241024
1876,1395.3366016
1877,1403.4321792
1878,1411.5277568000001
1879,1419.6233344
1880,1427.718912
1881,1439.7875968
1882,1451.8562816
1883,1463.9249664
1884,1475.9936512
1885,1488.062336
1886,1500.1310208
1887,1512.1997056
1888,1524.2683903999998
1889,1536.3370751999998
1890,1548.4057599999999
1891,1560.6287487999998
1892,1572.8517376
1893,1585.0747264
1894,1597.2977151999999
1895,1609.520704
1896,1621.7436928
1897,1633.9666816
1898,1646.1896703999998
1899,1658.4126592
1900,1670.635648
1901,1683.5940223999999
1902,1696.5523968
1903,1709.5107712
1904,1722.4691456
1905,1735.42752
1906,1748.3858943999999
1907,1761.3442688
1908,1774.3026432
1909,1787.2610176
1910,1800.219392
1911,1812.983168
1912,1825.746944
1913,1838.51072
1914,1851.274496
1915,1864.0382719999998
1916,1876.8020479999998
1917,1889.5658239999998
1918,1902.3295999999998
1919,1915.0933759999998
1920,1927.8571519999998
1921,1945.7120512
1922,1963.5669503999998
1923,1981.4218495999999
1924,1999.2767488
1925,2017.131648
1926,2034.9865472
1927,2052.8414463999998
1928,2070.6963456
1929,2088.5512448
1930,2106.406144
1931,2128.6115328
1932,2150.8169216
1933,2173.0223104
1934,2195.2276992
1935,2217.4330879999998
1936,2239.6384768
1937,2261.8438656
1938,2284.0492544
1939,2306.2546432
1940,2328.460032
1941,2344.9233089
1942,2361.3865858
1943,2377.8498627
1944,2394.3131396
1945,2410.7764165
1946,2427.2396934
1947,2443.7029703
1948,2460.1662472
1949,2476.6295241
1950,2493.092801
1951,2536.926981
1952,2584.0862819999998
1953,2634.1061959999997
1954,2685.894824
1955,2740.213742
1956,2795.4099459999998
1957,2852.6182909999998
1958,2911.249598
1959,2965.950296
1960,3015.4708579999997
1961,3064.869609
1962,3123.3742589999997
1963,3192.807773
1964,3264.487295
1965,3334.5336709999997
1966,3404.041061
1967,3473.412825
1968,3545.187204
1969,3619.4915429999996
1970,3694.683753
1971,3769.8478029999997
1972,3844.917635
1973,3920.804971
1974,3996.41605
1975,4070.7352079999996
1976,4144.246343
1977,4217.863768
1978,4292.097452
1979,4368.539442
1980,4447.606162
1981,4528.777252
1982,4612.673388
1983,4697.32754
1984,4782.175455
1985,4868.9434089999995
1986,4958.072773
1987,5049.746328
1988,5141.992501
1989,5234.431681
1990,5327.803038999999
1991,5418.735854
1992,5505.989763
1993,5591.544754
1994,5675.551219
1995,5758.878939
1996,5842.055673
1997,5924.787768
1998,6007.066661
1999,6089.006305999999
2000,6171.702952
2001,6254.936409
2002,6337.730259999999
2003,6420.361599
2004,6503.377732999999
2005,6586.970109
2006,6671.451961
2007,6757.3087319999995
2008,6844.45762
2009,6932.7663729999995
2010,7021.732097
2011,7110.923706
2012,7201.202442
2013,7291.793521
2014,7381.616193
2015,7470.491849
2016,7558.554482
2017,7645.617937
2018,7729.902735
2019,7811.293646
2020,7887.001252999999
