,Global Mean Surface Temperature (GMST),Ocean Heat Content|Global|Total,Atmospheric Concentrations|CO2,Carbon Flux to Oceans,Carbon Flux to Land,Effective Radiative Forcing|Aerosols,ECS,TCR
63592,1.7516747463567408,463.1435196924901,410.43534641239995,3.43459491153,1.584703345504,-0.8973794610268999,4.417873213000945,2.589349996244742
62390,1.2390681474465592,470.24774816201005,409.53651384779994,2.607428099862,3.369043044223999,-0.23691448747607,2.3408258177365,1.6807541235739305
19647,0.978594136868388,525.270475756845,408.49740509860004,2.8793979301059998,3.1680241616,-0.9446093294767801,2.456442525472854,1.3873272104081942
24823,1.0709389354781853,469.79636567773,408.4459443419,2.457468733862,3.6422395865210007,-0.47907117745229005,2.901200351415794,1.4677604370079675
96273,1.7484785793748054,588.00249895296,412.4171398013001,1.615118028073,3.962540869916,-0.7347280714660099,7.531442540276487,2.6026543532492235
65410,1.050354179679311,408.90964161683996,409.2366070273,3.424896205388,2.276036091196,-0.6726113345644,1.6310645662892649,1.140766074398432
35190,0.963614650255308,331.569404215413,410.6579843828,4.130304254443,1.658706711897,-1.1313426877313,1.8846834180267944,1.3076965077216354
81844,1.4590369331443827,456.786483843144,410.84014031220005,2.767279200822,2.912045547428,-1.0881564707207,1.9552287956647405,1.3032071594717092
28027,1.0607169609730895,338.89431028962605,408.53999599170004,2.947872270417,3.0690334045939998,-1.7114781606307,2.447744147667838,1.6405703554338325
67597,1.1877035064635146,519.97487739652,408.4358204861,3.170270766831,2.7324276033180004,-0.9939155887008099,2.171219848673016,1.4036159833081718
24290,1.1182698125901873,385.057139847744,409.9484001248,2.993413037443,3.345232581914,-1.4738259398217999,3.17361822727869,2.1048393924271136
70042,1.2133135737363228,514.1584086302302,407.80144515409995,3.156186980941,2.594770581106,-0.529491236121,2.4018380850302745,1.6862521975981664
37848,1.1794019489284504,483.10756396448,409.0845720823,2.917753970843,2.963000711438,-0.04198481110136,2.1216487413276446,1.466795491189955
86315,1.2422729436858237,444.920647997462,408.6614000292,3.2150284476770006,2.5507469353389998,-0.7450841421605,2.388994631883441,1.658416655092659
45679,1.2464487785627483,501.93847281942004,410.05954804000004,3.806007382629,1.6965096145760001,-0.7663669802794,3.194842049428821,1.8448543474616248
46892,1.1968913945342843,491.52184469115,409.70579270199994,2.992285303885,2.659492160945,-1.2789224087764102,3.000902101378546,1.5445475305805398
87898,1.1519925724553122,563.5571184980099,409.7790897379999,3.472894160968,2.63775213022,-0.9392498489822,2.508139046725817,1.2350650918018746
68445,1.3365594302873636,412.75558810595203,409.962260153,3.3627464211429996,2.0246017656469997,-1.2488155915505,3.403521535095128,2.082991753026781
36564,1.3658459132746852,451.29290592103905,409.32254022480004,3.625518544296,2.0964150603319998,-0.9598301939477,3.71078181756341,2.401564984751594
24152,0.8584373911856132,238.608024332587,405.83847292279995,4.3535162887770005,1.7427822114449998,-1.1867167518079,2.002366923614733,1.336091495015956
14891,1.053330014301242,305.206467833631,408.60787694050003,2.909245706529,3.3395445323099997,-1.8337953408170997,1.94880262245513,1.419901358228885
53955,1.1593476551940254,500.16189875379,405.7800671072,3.7090196775660003,2.1355502599779994,-0.6849531040149,2.622878310926481,1.5051527942998495
13071,0.9288859339325484,393.46833936956,408.81724797649997,2.874089447785,2.881096479025,-1.41812388624964,1.9353256592583128,1.3579045035353214
13798,1.775578752835883,483.14532245888995,409.4404369024,1.7269181863229999,4.632377757739,-1.8027610864450998,6.344765718380673,2.707042291239917
39445,1.0314769273686666,399.079481659313,409.0805675555,3.425199244662,2.708966296346,-1.0143663461645,2.8509909739265025,1.6980973996037103
3938,1.0967375375244606,395.01998578406,407.5072170934,3.9675180760879996,1.7943105191660003,-0.6403051472161,2.096187223726384,1.7899508588056192
32066,1.225493009262455,428.83810608366,411.1322132171,3.0833207422560003,3.5774740806480003,-1.8107801403616,4.31071157932476,2.187742555311823
79505,1.0692547405755637,452.74464751680074,406.8978248502,3.296970788853,2.511644823672,-1.343505907310231,2.9329177062486838,1.59380912754424
44513,1.7778597188919023,339.700160819201,406.27569701310006,1.852408503858,4.7837726104080005,-1.57052131108379,5.173486037203178,2.9745490888332697
