Year,CO2 Forcing.Atmos CO2 exogenous
1750,284.29727
1751,284.29727
1752,284.29727
1753,284.29727
1754,284.29727
1755,284.29727
1756,284.29727
1757,284.29727
1758,284.29727
1759,284.29727
1760,284.29727
1761,284.29727
1762,284.29727
1763,284.29727
1764,284.29727
1765,284.29727
1766,284.29727
1767,284.29727
1768,284.29727
1769,284.29727
1770,284.29727
1771,284.29727
1772,284.29727
1773,284.29727
1774,284.29727
1775,284.29727
1776,284.29727
1777,284.29727
1778,284.29727
1779,284.29727
1780,284.29727
1781,284.29727
1782,284.29727
1783,284.29727
1784,284.29727
1785,284.29727
1786,284.29727
1787,284.29727
1788,284.29727
1789,284.29727
1790,284.29727
1791,284.29727
1792,284.29727
1793,284.29727
1794,284.29727
1795,284.29727
1796,284.29727
1797,284.29727
1798,284.29727
1799,284.29727
1800,284.29727
1801,284.29727
1802,284.29727
1803,284.29727
1804,284.29727
1805,284.29727
1806,284.29727
1807,284.29727
1808,284.29727
1809,284.29727
1810,284.29727
1811,284.29727
1812,284.29727
1813,284.29727
1814,284.29727
1815,284.29727
1816,284.29727
1817,284.29727
1818,284.29727
1819,284.29727
1820,284.29727
1821,284.29727
1822,284.29727
1823,284.29727
1824,284.29727
1825,284.29727
1826,284.29727
1827,284.29727
1828,284.29727
1829,284.29727
1830,284.29727
1831,284.29727
1832,284.29727
1833,284.29727
1834,284.29727
1835,284.29727
1836,284.29727
1837,284.29727
1838,284.29727
1839,284.29727
1840,284.29727
1841,284.29727
1842,284.29727
1843,284.29727
1844,284.29727
1845,284.29727
1846,284.29727
1847,284.29727
1848,284.29727
1849,284.29727
1850,142.15849939982095
1851,142.15849939982095
1852,142.15849939982095
1853,142.15849939982095
1854,142.15849939982095
1855,142.15849939982095
1856,142.15849939982095
1857,142.15849939982095
1858,142.15849939982095
1859,142.15849939982095
1860,142.15849939982095
1861,142.15849939982095
1862,142.15849939982095
1863,142.15849939982095
1864,142.15849939982095
1865,142.15849939982095
1866,142.15849939982095
1867,142.15849939982095
1868,142.15849939982095
1869,142.15849939982095
1870,142.15849939982095
1871,142.15849939982095
1872,142.15849939982095
1873,142.15849939982095
1874,142.15849939982095
1875,142.15849939982095
1876,142.15849939982095
1877,142.15849939982095
1878,142.15849939982095
1879,142.15849939982095
1880,142.15849939982095
1881,142.15849939982095
1882,142.15849939982095
1883,142.15849939982095
1884,142.15849939982095
1885,142.15849939982095
1886,142.15849939982095
1887,142.15849939982095
1888,142.15849939982095
1889,142.15849939982095
1890,142.15849939982095
1891,142.15849939982095
1892,142.15849939982095
1893,142.15849939982095
1894,142.15849939982095
1895,142.15849939982095
1896,142.15849939982095
1897,142.15849939982095
1898,142.15849939982095
1899,142.15849939982095
1900,142.15849939982095
1901,142.15849939982095
1902,142.15849939982095
1903,142.15849939982095
1904,142.15849939982095
1905,142.15849939982095
1906,142.15849939982095
1907,142.15849939982095
1908,142.15849939982095
1909,142.15849939982095
1910,142.15849939982095
1911,142.15849939982095
1912,142.15849939982095
1913,142.15849939982095
1914,142.15849939982095
1915,142.15849939982095
1916,142.15849939982095
1917,142.15849939982095
1918,142.15849939982095
1919,142.15849939982095
1920,142.15849939982095
1921,142.15849939982095
1922,142.15849939982095
1923,142.15849939982095
1924,142.15849939982095
1925,142.15849939982095
1926,142.15849939982095
1927,142.15849939982095
1928,142.15849939982095
1929,142.15849939982095
1930,142.15849939982095
1931,142.15849939982095
1932,142.15849939982095
1933,142.15849939982095
1934,142.15849939982095
1935,142.15849939982095
1936,142.15849939982095
1937,142.15849939982095
1938,142.15849939982095
1939,142.15849939982095
1940,142.15849939982095
1941,142.15849939982095
1942,142.15849939982095
1943,142.15849939982095
1944,142.15849939982095
1945,142.15849939982095
1946,142.15849939982095
1947,142.15849939982095
1948,142.15849939982095
1949,142.15849939982095
1950,142.15849939982095
1951,142.15849939982095
1952,142.15849939982095
1953,142.15849939982095
1954,142.15849939982095
1955,142.15849939982095
1956,142.15849939982095
1957,142.15849939982095
1958,142.15849939982095
