Year,CO2 Forcing.Atmos CO2 exogenous
1750,284.29727
1751,284.29727
1752,284.29727
1753,284.29727
1754,284.29727
1755,284.29727
1756,284.29727
1757,284.29727
1758,284.29727
1759,284.29727
1760,284.29727
1761,284.29727
1762,284.29727
1763,284.29727
1764,284.29727
1765,284.29727
1766,284.29727
1767,284.29727
1768,284.29727
1769,284.29727
1770,284.29727
1771,284.29727
1772,284.29727
1773,284.29727
1774,284.29727
1775,284.29727
1776,284.29727
1777,284.29727
1778,284.29727
1779,284.29727
1780,284.29727
1781,284.29727
1782,284.29727
1783,284.29727
1784,284.29727
1785,284.29727
1786,284.29727
1787,284.29727
1788,284.29727
1789,284.29727
1790,284.29727
1791,284.29727
1792,284.29727
1793,284.29727
1794,284.29727
1795,284.29727
1796,284.29727
1797,284.29727
1798,284.29727
1799,284.29727
1800,284.29727
1801,284.29727
1802,284.29727
1803,284.29727
1804,284.29727
1805,284.29727
1806,284.29727
1807,284.29727
1808,284.29727
1809,284.29727
1810,284.29727
1811,284.29727
1812,284.29727
1813,284.29727
1814,284.29727
1815,284.29727
1816,284.29727
1817,284.29727
1818,284.29727
1819,284.29727
1820,284.29727
1821,284.29727
1822,284.29727
1823,284.29727
1824,284.29727
1825,284.29727
1826,284.29727
1827,284.29727
1828,284.29727
1829,284.29727
1830,284.29727
1831,284.29727
1832,284.29727
1833,284.29727
1834,284.29727
1835,284.29727
1836,284.29727
1837,284.29727
1838,284.29727
1839,284.29727
1840,284.29727
1841,284.29727
1842,284.29727
1843,284.29727
1844,284.29727
1845,284.29727
1846,284.29727
1847,284.29727
1848,284.29727
1849,284.29727
1850,568.59454
1851,568.59454
1852,568.59454
1853,568.59454
1854,568.59454
1855,568.59454
1856,568.59454
1857,568.59454
1858,568.59454
1859,568.59454
1860,568.59454
1861,568.59454
1862,568.59454
1863,568.59454
1864,568.59454
1865,568.59454
1866,568.59454
1867,568.59454
1868,568.59454
1869,568.59454
1870,568.59454
1871,568.59454
1872,568.59454
1873,568.59454
1874,568.59454
1875,568.59454
1876,568.59454
1877,568.59454
1878,568.59454
1879,568.59454
1880,568.59454
1881,568.59454
1882,568.59454
1883,568.59454
1884,568.59454
1885,568.59454
1886,568.59454
1887,568.59454
1888,568.59454
1889,568.59454
1890,568.59454
1891,568.59454
1892,568.59454
1893,568.59454
1894,568.59454
1895,568.59454
1896,568.59454
1897,568.59454
1898,568.59454
1899,568.59454
1900,568.59454
1901,568.59454
1902,568.59454
1903,568.59454
1904,568.59454
1905,568.59454
1906,568.59454
1907,568.59454
1908,568.59454
1909,568.59454
1910,568.59454
1911,568.59454
1912,568.59454
1913,568.59454
1914,568.59454
1915,568.59454
1916,568.59454
1917,568.59454
1918,568.59454
1919,568.59454
1920,568.59454
1921,568.59454
1922,568.59454
1923,568.59454
1924,568.59454
1925,568.59454
1926,568.59454
1927,568.59454
1928,568.59454
1929,568.59454
1930,568.59454
1931,568.59454
1932,568.59454
1933,568.59454
1934,568.59454
1935,568.59454
1936,568.59454
1937,568.59454
1938,568.59454
1939,568.59454
1940,568.59454
1941,568.59454
1942,568.59454
1943,568.59454
1944,568.59454
1945,568.59454
1946,568.59454
1947,568.59454
1948,568.59454
1949,568.59454
1950,568.59454
1951,568.59454
1952,568.59454
1953,568.59454
1954,568.59454
1955,568.59454
1956,568.59454
1957,568.59454
1958,568.59454
1959,568.59454
1960,568.59454
1961,568.59454
1962,568.59454
1963,568.59454
1964,568.59454
1965,568.59454
1966,568.59454
1967,568.59454
1968,568.59454
1969,568.59454
1970,568.59454
1971,568.59454
1972,568.59454
1973,568.59454
1974,568.59454
1975,568.59454
1976,568.59454
1977,568.59454
1978,568.59454
1979,568.59454
1980,568.59454
1981,568.59454
1982,568.59454
1983,568.59454
1984,568.59454
1985,568.59454
1986,568.59454
1987,568.59454
1988,568.59454
1989,568.59454
1990,568.59454
1991,568.59454
1992,568.59454
1993,568.59454
1994,568.59454
1995,568.59454
1996,568.59454
1997,568.59454
1998,568.59454
1999,568.59454
2000,568.59454
