Year,Emissions.CO2 Emissions from Fossil use
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,765.3438442262385
1851,926.7941239804942
1852,1117.9271073308907
1853,1343.2202779851573
1854,1607.624178239983
1855,1916.5729579469632
1856,2275.986701771207
1857,2692.2638603124915
1858,3172.2620804113008
1859,3723.2657518238248
1860,4352.938670448401
1861,5069.260370548189
1862,5880.444906624129
1863,6794.841174417825
1864,7820.814252052027
1865,8966.607715513186
1866,10240.187432920502
1867,11649.06796072458
1868,13200.123339365387
1869,14899.384798980527
1870,16751.828616388088
1871,18761.158087953365
1872,20929.584271163763
1873,23257.61077060596
1874,25743.82837021448
1875,28384.725711884283
1876,31174.52246107598
1877,34105.0314561919
1878,37165.55618815117
1879,40342.82958370128
1880,43620.999461963096
1881,46981.66519845989
1882,50403.969073755325
1883,53864.74452396514
1884,57338.72207678701
1885,60798.79218764328
1886,64216.32253277951
1887,67561.52562339164
1888,70803.87093583061
1889,73912.53416924222
1890,76856.87480552921
1891,79606.93191674954
1892,82133.92719633627
1893,84410.76352941163
1894,86412.50710039487
1895,88116.84108731663
1896,89504.47942233896
1897,90559.5299029122
1898,91269.797098911
1899,91627.0169846896
1900,91627.0169846896
1901,91269.797098911
1902,90559.5299029122
1903,89504.47942233896
1904,88116.84108731663
1905,86412.50710039487
1906,84410.76352941163
1907,82133.92719633627
1908,79606.93191674954
1909,76856.87480552921
1910,73912.53416924222
1911,70803.87093583061
1912,67561.52562339164
1913,64216.32253277951
1914,60798.79218764328
1915,57338.72207678701
1916,53864.74452396514
1917,50403.969073755325
1918,46981.66519845989
1919,43620.999461963096
1920,40342.82958370128
1921,37165.55618815117
1922,34105.0314561919
1923,31174.52246107598
1924,28384.725711884283
1925,25743.82837021448
1926,23257.61077060596
1927,20929.584271163763
1928,18761.158087953365
1929,16751.828616388088
1930,14899.384798980527
1931,13200.123339365387
1932,11649.06796072458
1933,10240.187432920502
1934,8966.607715513186
1935,7820.814252052027
1936,6794.841174417825
1937,5880.444906624129
1938,5069.260370548189
1939,4352.938670448401
1940,3723.2657518238248
1941,3172.2620804113008
1942,2692.2638603124915
1943,2275.986701771207
1944,1916.5729579469632
1945,1607.624178239983
1946,1343.2202779851573
1947,1117.9271073308907
1948,926.7941239804942
1949,765.3438442262385
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
