Year,Emissions.CO2 Emissions from Fossil use
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,36644.46294754371
1851,36644.46294754371
1852,36644.46294754371
1853,36644.46294754371
1854,36644.46294754371
1855,36644.46294754371
1856,36644.46294754371
1857,36644.46294754371
1858,36644.46294754371
1859,36644.46294754371
1860,36644.46294754371
1861,36644.46294754371
1862,36644.46294754371
1863,36644.46294754371
1864,36644.46294754371
1865,36644.46294754371
1866,36644.46294754371
1867,36644.46294754371
1868,36644.46294754371
1869,36644.46294754371
1870,36644.46294754371
1871,36644.46294754371
1872,36644.46294754371
1873,36644.46294754371
1874,36644.46294754371
1875,36644.46294754371
1876,36644.46294754371
1877,36644.46294754371
1878,36644.46294754371
1879,36644.46294754371
1880,36644.46294754371
1881,36644.46294754371
1882,36644.46294754371
1883,36644.46294754371
1884,36644.46294754371
1885,36644.46294754371
1886,36644.46294754371
1887,36644.46294754371
1888,36644.46294754371
1889,36644.46294754371
1890,36644.46294754371
1891,36644.46294754371
1892,36644.46294754371
1893,36644.46294754371
1894,36644.46294754371
1895,36644.46294754371
1896,36644.46294754371
1897,36644.46294754371
1898,36644.46294754371
1899,36644.46294754371
1900,36644.46294754371
1901,36644.46294754371
1902,36644.46294754371
1903,36644.46294754371
1904,36644.46294754371
1905,36644.46294754371
1906,36644.46294754371
1907,36644.46294754371
1908,36644.46294754371
1909,36644.46294754371
1910,36644.46294754371
1911,36644.46294754371
1912,36644.46294754371
1913,36644.46294754371
1914,36644.46294754371
1915,36644.46294754371
1916,36644.46294754371
1917,36644.46294754371
1918,36644.46294754371
1919,36644.46294754371
1920,36644.46294754371
1921,36644.46294754371
1922,36644.46294754371
1923,36644.46294754371
1924,36644.46294754371
1925,36644.46294754371
1926,36644.46294754371
1927,36644.46294754371
1928,36644.46294754371
1929,36644.46294754371
1930,36644.46294754371
1931,36644.46294754371
1932,36644.46294754371
1933,36644.46294754371
1934,36644.46294754371
1935,36644.46294754371
1936,36644.46294754371
1937,36644.46294754371
1938,36644.46294754371
1939,36644.46294754371
1940,36644.46294754371
1941,36644.46294754371
1942,36644.46294754371
1943,36644.46294754371
1944,36644.46294754371
1945,36644.46294754371
1946,36644.46294754371
1947,36644.46294754371
1948,36644.46294754371
1949,36644.46294754371
1950,36278.01831806827
1951,35545.129059117404
1952,34812.23980016653
1953,34079.35054121565
1954,33346.461282264776
1955,32613.572023313907
1956,31880.68276436303
1957,31147.793505412155
1958,30414.90424646128
1959,29682.014987510407
1960,28949.12572855953
1961,28216.236469608662
1962,27483.34721065779
1963,26750.45795170691
1964,26017.56869275604
1965,25284.67943380516
1966,24551.79017485429
1967,23818.90091590341
1968,23086.011656952534
1969,22353.122398001666
1970,21620.23313905079
1971,20887.34388009992
1972,20154.45462114904
1973,19421.56536219817
1974,18688.676103247293
1975,17955.786844296417
1976,17222.897585345545
1977,16490.00832639467
1978,15757.119067443797
1979,15024.229808492924
1980,14291.340549542048
1981,13558.451290591174
1982,12825.5620316403
1983,12092.672772689426
1984,11359.783513738552
1985,10626.894254787676
1986,9894.004995836802
1987,9161.115736885928
1988,8428.226477935053
1989,7695.33721898418
1990,6962.447960033305
1991,6229.558701082431
1992,5496.669442131557
1993,4763.780183180683
1994,4030.890924229809
1995,3298.0016652789336
1996,2565.11240632806
1997,1832.2231473771856
1998,1099.3338884263114
1999,366.4446294754371
2000,-366.4446294754371
2001,-1099.3338884263114
2002,-1832.2231473771856
2003,-2565.11240632806
2004,-3298.0016652789336
2005,-4030.890924229809
2006,-4763.780183180683
2007,-5496.669442131557
2008,-6229.558701082431
2009,-6962.447960033305
2010,-7695.33721898418
2011,-8428.226477935053
2012,-9161.115736885928
2013,-9894.004995836802
2014,-10626.894254787676
2015,-11359.783513738552
2016,-12092.672772689426
2017,-12825.5620316403
2018,-13558.451290591174
2019,-14291.340549542048
2020,-15024.229808492924
2021,-15757.119067443797
2022,-16490.00832639467
2023,-17222.897585345545
2024,-17955.786844296417
2025,-18688.676103247293
2026,-19421.56536219817
2027,-20154.45462114904
2028,-20887.34388009992
2029,-21620.23313905079
2030,-22353.122398001666
2031,-23086.011656952534
2032,-23818.90091590341
2033,-24551.79017485429
2034,-25284.67943380516
2035,-26017.56869275604
2036,-26750.45795170691
2037,-27483.34721065779
2038,-28216.236469608662
2039,-28949.12572855953
2040,-29682.014987510407
2041,-30414.90424646128
2042,-31147.793505412155
2043,-31880.68276436303
2044,-32613.572023313907
2045,-33346.461282264776
2046,-34079.35054121565
2047,-34812.23980016653
2048,-35545.129059117404
2049,-36278.01831806827
2050,-36644.46294754371
2051,-36644.46294754371
2052,-36644.46294754371
2053,-36644.46294754371
2054,-36644.46294754371
2055,-36644.46294754371
2056,-36644.46294754371
2057,-36644.46294754371
2058,-36644.46294754371
2059,-36644.46294754371
2060,-36644.46294754371
2061,-36644.46294754371
2062,-36644.46294754371
2063,-36644.46294754371
2064,-36644.46294754371
2065,-36644.46294754371
2066,-36644.46294754371
2067,-36644.46294754371
2068,-36644.46294754371
2069,-36644.46294754371
2070,-36644.46294754371
2071,-36644.46294754371
2072,-36644.46294754371
2073,-36644.46294754371
2074,-36644.46294754371
2075,-36644.46294754371
2076,-36644.46294754371
2077,-36644.46294754371
2078,-36644.46294754371
2079,-36644.46294754371
2080,-36644.46294754371
2081,-36644.46294754371
2082,-36644.46294754371
2083,-36644.46294754371
2084,-36644.46294754371
2085,-36644.46294754371
2086,-36644.46294754371
2087,-36644.46294754371
2088,-36644.46294754371
2089,-36644.46294754371
2090,-36644.46294754371
2091,-36644.46294754371
2092,-36644.46294754371
2093,-36644.46294754371
2094,-36644.46294754371
2095,-36644.46294754371
2096,-36644.46294754371
2097,-36644.46294754371
2098,-36644.46294754371
2099,-36644.46294754371
2100,-36644.46294754371
2101,-36644.46294754371
2102,-36644.46294754371
2103,-36644.46294754371
2104,-36644.46294754371
2105,-36644.46294754371
2106,-36644.46294754371
2107,-36644.46294754371
2108,-36644.46294754371
2109,-36644.46294754371
2110,-36644.46294754371
2111,-36644.46294754371
2112,-36644.46294754371
2113,-36644.46294754371
2114,-36644.46294754371
2115,-36644.46294754371
2116,-36644.46294754371
2117,-36644.46294754371
2118,-36644.46294754371
2119,-36644.46294754371
2120,-36644.46294754371
2121,-36644.46294754371
2122,-36644.46294754371
2123,-36644.46294754371
2124,-36644.46294754371
2125,-36644.46294754371
2126,-36644.46294754371
2127,-36644.46294754371
2128,-36644.46294754371
2129,-36644.46294754371
2130,-36644.46294754371
2131,-36644.46294754371
2132,-36644.46294754371
2133,-36644.46294754371
2134,-36644.46294754371
2135,-36644.46294754371
2136,-36644.46294754371
2137,-36644.46294754371
2138,-36644.46294754371
2139,-36644.46294754371
2140,-36644.46294754371
2141,-36644.46294754371
2142,-36644.46294754371
2143,-36644.46294754371
2144,-36644.46294754371
2145,-36644.46294754371
2146,-36644.46294754371
2147,-36644.46294754371
2148,-36644.46294754371
2149,-36644.46294754371
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,0.0
2161,0.0
2162,0.0
2163,0.0
2164,0.0
2165,0.0
2166,0.0
2167,0.0
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.0
2173,0.0
2174,0.0
2175,0.0
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,0.0
2190,0.0
2191,0.0
2192,0.0
2193,0.0
2194,0.0
2195,0.0
2196,0.0
2197,0.0
2198,0.0
2199,0.0
2200,0.0
2201,0.0
2202,0.0
2203,0.0
2204,0.0
2205,0.0
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,0.0
2213,0.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2236,0.0
2237,0.0
2238,0.0
2239,0.0
2240,0.0
2241,0.0
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,0.0
2248,0.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
2301,0.0
2302,0.0
2303,0.0
2304,0.0
2305,0.0
2306,0.0
2307,0.0
2308,0.0
2309,0.0
2310,0.0
2311,0.0
2312,0.0
2313,0.0
2314,0.0
2315,0.0
2316,0.0
2317,0.0
2318,0.0
2319,0.0
2320,0.0
2321,0.0
2322,0.0
2323,0.0
2324,0.0
2325,0.0
2326,0.0
2327,0.0
2328,0.0
2329,0.0
2330,0.0
2331,0.0
2332,0.0
2333,0.0
2334,0.0
2335,0.0
2336,0.0
2337,0.0
2338,0.0
2339,0.0
2340,0.0
2341,0.0
2342,0.0
2343,0.0
2344,0.0
2345,0.0
2346,0.0
2347,0.0
2348,0.0
2349,0.0
2350,0.0
2351,0.0
2352,0.0
2353,0.0
2354,0.0
2355,0.0
2356,0.0
2357,0.0
2358,0.0
2359,0.0
2360,0.0
2361,0.0
2362,0.0
2363,0.0
2364,0.0
2365,0.0
2366,0.0
2367,0.0
2368,0.0
2369,0.0
2370,0.0
2371,0.0
2372,0.0
2373,0.0
2374,0.0
2375,0.0
2376,0.0
2377,0.0
2378,0.0
2379,0.0
2380,0.0
2381,0.0
2382,0.0
2383,0.0
2384,0.0
2385,0.0
2386,0.0
2387,0.0
2388,0.0
2389,0.0
2390,0.0
2391,0.0
2392,0.0
2393,0.0
2394,0.0
2395,0.0
2396,0.0
2397,0.0
2398,0.0
2399,0.0
2400,0.0
2401,0.0
2402,0.0
2403,0.0
2404,0.0
2405,0.0
2406,0.0
2407,0.0
2408,0.0
2409,0.0
2410,0.0
2411,0.0
2412,0.0
2413,0.0
2414,0.0
2415,0.0
2416,0.0
2417,0.0
2418,0.0
2419,0.0
2420,0.0
2421,0.0
2422,0.0
2423,0.0
2424,0.0
2425,0.0
2426,0.0
2427,0.0
2428,0.0
2429,0.0
2430,0.0
2431,0.0
2432,0.0
2433,0.0
2434,0.0
2435,0.0
2436,0.0
2437,0.0
2438,0.0
2439,0.0
2440,0.0
2441,0.0
2442,0.0
2443,0.0
2444,0.0
2445,0.0
2446,0.0
2447,0.0
2448,0.0
2449,0.0
2450,0.0
2451,0.0
2452,0.0
2453,0.0
2454,0.0
2455,0.0
2456,0.0
2457,0.0
2458,0.0
2459,0.0
2460,0.0
2461,0.0
2462,0.0
2463,0.0
2464,0.0
2465,0.0
2466,0.0
2467,0.0
2468,0.0
2469,0.0
2470,0.0
2471,0.0
2472,0.0
2473,0.0
2474,0.0
2475,0.0
2476,0.0
2477,0.0
2478,0.0
2479,0.0
2480,0.0
2481,0.0
2482,0.0
2483,0.0
2484,0.0
2485,0.0
2486,0.0
2487,0.0
2488,0.0
2489,0.0
2490,0.0
2491,0.0
2492,0.0
2493,0.0
2494,0.0
2495,0.0
2496,0.0
2497,0.0
2498,0.0
2499,0.0
2500,0.0
