Year,Emissions.CO2 Emissions from Fossil use
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,73288.92589508742
1851,73288.92589508742
1852,73288.92589508742
1853,73288.92589508742
1854,73288.92589508742
1855,73288.92589508742
1856,73288.92589508742
1857,73288.92589508742
1858,73288.92589508742
1859,73288.92589508742
1860,73288.92589508742
1861,73288.92589508742
1862,73288.92589508742
1863,73288.92589508742
1864,73288.92589508742
1865,73288.92589508742
1866,73288.92589508742
1867,73288.92589508742
1868,73288.92589508742
1869,73288.92589508742
1870,73288.92589508742
1871,73288.92589508742
1872,73288.92589508742
1873,73288.92589508742
1874,73288.92589508742
1875,73288.92589508742
1876,73288.92589508742
1877,73288.92589508742
1878,73288.92589508742
1879,73288.92589508742
1880,73288.92589508742
1881,73288.92589508742
1882,73288.92589508742
1883,73288.92589508742
1884,73288.92589508742
1885,73288.92589508742
1886,73288.92589508742
1887,73288.92589508742
1888,73288.92589508742
1889,73288.92589508742
1890,73288.92589508742
1891,73288.92589508742
1892,73288.92589508742
1893,73288.92589508742
1894,73288.92589508742
1895,73288.92589508742
1896,73288.92589508742
1897,73288.92589508742
1898,73288.92589508742
1899,73288.92589508742
1900,73288.92589508742
1901,73288.92589508742
1902,73288.92589508742
1903,73288.92589508742
1904,73288.92589508742
1905,73288.92589508742
1906,73288.92589508742
1907,73288.92589508742
1908,73288.92589508742
1909,73288.92589508742
1910,73288.92589508742
1911,73288.92589508742
1912,73288.92589508742
1913,73288.92589508742
1914,73288.92589508742
1915,73288.92589508742
1916,73288.92589508742
1917,73288.92589508742
1918,73288.92589508742
1919,73288.92589508742
1920,73288.92589508742
1921,73288.92589508742
1922,73288.92589508742
1923,73288.92589508742
1924,73288.92589508742
1925,73288.92589508742
1926,73288.92589508742
1927,73288.92589508742
1928,73288.92589508742
1929,73288.92589508742
1930,73288.92589508742
1931,73288.92589508742
1932,73288.92589508742
1933,73288.92589508742
1934,73288.92589508742
1935,73288.92589508742
1936,73288.92589508742
1937,73288.92589508742
1938,73288.92589508742
1939,73288.92589508742
1940,73288.92589508742
1941,73288.92589508742
1942,73288.92589508742
1943,73288.92589508742
1944,73288.92589508742
1945,73288.92589508742
1946,73288.92589508742
1947,73288.92589508742
1948,73288.92589508742
1949,73288.92589508742
1950,73288.92589508742
1951,73288.92589508742
1952,73288.92589508742
1953,73288.92589508742
1954,73288.92589508742
1955,73288.92589508742
1956,73288.92589508742
1957,73288.92589508742
1958,73288.92589508742
1959,73288.92589508742
1960,73288.92589508742
1961,73288.92589508742
1962,73288.92589508742
1963,73288.92589508742
1964,73288.92589508742
1965,73288.92589508742
1966,73288.92589508742
1967,73288.92589508742
1968,73288.92589508742
1969,73288.92589508742
1970,73288.92589508742
1971,73288.92589508742
1972,73288.92589508742
1973,73288.92589508742
1974,73288.92589508742
1975,73288.92589508742
1976,73288.92589508742
1977,73288.92589508742
1978,73288.92589508742
1979,73288.92589508742
1980,73288.92589508742
1981,73288.92589508742
1982,73288.92589508742
1983,73288.92589508742
1984,73288.92589508742
1985,73288.92589508742
1986,73288.92589508742
1987,73288.92589508742
1988,73288.92589508742
1989,73288.92589508742
1990,73288.92589508742
1991,73288.92589508742
1992,73288.92589508742
1993,73288.92589508742
1994,73288.92589508742
1995,73288.92589508742
1996,73288.92589508742
1997,73288.92589508742
1998,73288.92589508742
1999,73288.92589508742
2000,73288.92589508742
2001,73288.92589508742
2002,73288.92589508742
2003,73288.92589508742
2004,73288.92589508742
2005,73288.92589508742
2006,73288.92589508742
2007,73288.92589508742
2008,73288.92589508742
2009,73288.92589508742
2010,73288.92589508742
2011,73288.92589508742
2012,73288.92589508742
2013,73288.92589508742
2014,73288.92589508742
2015,73288.92589508742
2016,73288.92589508742
2017,73288.92589508742
2018,73288.92589508742
2019,73288.92589508742
2020,73288.92589508742
2021,73288.92589508742
2022,73288.92589508742
2023,73288.92589508742
2024,73288.92589508742
2025,73288.92589508742
2026,73288.92589508742
2027,73288.92589508742
2028,73288.92589508742
2029,73288.92589508742
2030,73288.92589508742
2031,73288.92589508742
2032,73288.92589508742
2033,73288.92589508742
2034,73288.92589508742
2035,73288.92589508742
2036,73288.92589508742
2037,73288.92589508742
2038,73288.92589508742
2039,73288.92589508742
2040,73288.92589508742
2041,73288.92589508742
2042,73288.92589508742
2043,73288.92589508742
2044,73288.92589508742
2045,73288.92589508742
2046,73288.92589508742
2047,73288.92589508742
2048,73288.92589508742
2049,73288.92589508742
2050,73288.92589508742
2051,73288.92589508742
2052,73288.92589508742
2053,73288.92589508742
2054,73288.92589508742
2055,73288.92589508742
2056,73288.92589508742
2057,73288.92589508742
2058,73288.92589508742
2059,73288.92589508742
2060,73288.92589508742
2061,73288.92589508742
2062,73288.92589508742
2063,73288.92589508742
2064,73288.92589508742
2065,73288.92589508742
2066,73288.92589508742
2067,73288.92589508742
2068,73288.92589508742
2069,73288.92589508742
2070,73288.92589508742
2071,73288.92589508742
2072,73288.92589508742
2073,73288.92589508742
2074,73288.92589508742
2075,73288.92589508742
2076,73288.92589508742
2077,73288.92589508742
2078,73288.92589508742
2079,73288.92589508742
2080,73288.92589508742
2081,73288.92589508742
2082,73288.92589508742
2083,73288.92589508742
2084,73288.92589508742
2085,73288.92589508742
2086,73288.92589508742
2087,73288.92589508742
2088,73288.92589508742
2089,73288.92589508742
2090,73288.92589508742
2091,73288.92589508742
2092,73288.92589508742
2093,73288.92589508742
2094,73288.92589508742
2095,73288.92589508742
2096,73288.92589508742
2097,73288.92589508742
2098,73288.92589508742
2099,73288.92589508742
2100,73288.92589508742
2101,73288.92589508742
2102,73288.92589508742
2103,73288.92589508742
2104,73288.92589508742
2105,73288.92589508742
2106,73288.92589508742
2107,73288.92589508742
2108,73288.92589508742
2109,73288.92589508742
2110,73288.92589508742
2111,73288.92589508742
2112,73288.92589508742
2113,73288.92589508742
2114,73288.92589508742
2115,73288.92589508742
2116,73288.92589508742
2117,73288.92589508742
2118,73288.92589508742
2119,73288.92589508742
2120,73288.92589508742
2121,73288.92589508742
2122,73288.92589508742
2123,73288.92589508742
2124,73288.92589508742
2125,73288.92589508742
2126,73288.92589508742
2127,73288.92589508742
2128,73288.92589508742
2129,73288.92589508742
2130,73288.92589508742
2131,73288.92589508742
2132,73288.92589508742
2133,73288.92589508742
2134,73288.92589508742
2135,73288.92589508742
2136,73288.92589508742
2137,73288.92589508742
2138,73288.92589508742
2139,73288.92589508742
2140,73288.92589508742
2141,73288.92589508742
2142,73288.92589508742
2143,73288.92589508742
2144,73288.92589508742
2145,73288.92589508742
2146,73288.92589508742
2147,73288.92589508742
2148,73288.92589508742
2149,73288.92589508742
2150,73288.92589508742
2151,73288.92589508742
2152,73288.92589508742
2153,73288.92589508742
2154,73288.92589508742
2155,73288.92589508742
2156,73288.92589508742
2157,73288.92589508742
2158,73288.92589508742
2159,73288.92589508742
2160,73288.92589508742
2161,73288.92589508742
2162,73288.92589508742
2163,73288.92589508742
2164,73288.92589508742
2165,73288.92589508742
2166,73288.92589508742
2167,73288.92589508742
2168,73288.92589508742
2169,73288.92589508742
