Year,Emissions.CO2 Emissions from Fossil use
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,27483.347210657783
1851,27483.347210657783
1852,27483.347210657783
1853,27483.347210657783
1854,27483.347210657783
1855,27483.347210657783
1856,27483.347210657783
1857,27483.347210657783
1858,27483.347210657783
1859,27483.347210657783
1860,27483.347210657783
1861,27483.347210657783
1862,27483.347210657783
1863,27483.347210657783
1864,27483.347210657783
1865,27483.347210657783
1866,27483.347210657783
1867,27483.347210657783
1868,27483.347210657783
1869,27483.347210657783
1870,27483.347210657783
1871,27483.347210657783
1872,27483.347210657783
1873,27483.347210657783
1874,27483.347210657783
1875,27483.347210657783
1876,27483.347210657783
1877,27483.347210657783
1878,27483.347210657783
1879,27483.347210657783
1880,27483.347210657783
1881,27483.347210657783
1882,27483.347210657783
1883,27483.347210657783
1884,27483.347210657783
1885,27483.347210657783
1886,27483.347210657783
1887,27483.347210657783
1888,27483.347210657783
1889,27483.347210657783
1890,27483.347210657783
1891,27483.347210657783
1892,27483.347210657783
1893,27483.347210657783
1894,27483.347210657783
1895,27483.347210657783
1896,27483.347210657783
1897,27483.347210657783
1898,27483.347210657783
1899,27483.347210657783
1900,27483.347210657783
1901,27483.347210657783
1902,27483.347210657783
1903,27483.347210657783
1904,27483.347210657783
1905,27483.347210657783
1906,27483.347210657783
1907,27483.347210657783
1908,27483.347210657783
1909,27483.347210657783
1910,27483.347210657783
1911,27483.347210657783
1912,27483.347210657783
1913,27483.347210657783
1914,27483.347210657783
1915,27483.347210657783
1916,27483.347210657783
1917,27483.347210657783
1918,27483.347210657783
1919,27483.347210657783
1920,27483.347210657783
1921,27483.347210657783
1922,27483.347210657783
1923,27483.347210657783
1924,27483.347210657783
1925,27483.347210657783
1926,27483.347210657783
1927,27483.347210657783
1928,27483.347210657783
1929,27483.347210657783
1930,27483.347210657783
1931,27483.347210657783
1932,27483.347210657783
1933,27483.347210657783
1934,27483.347210657783
1935,27483.347210657783
1936,27483.347210657783
1937,27483.347210657783
1938,27483.347210657783
1939,27483.347210657783
1940,27483.347210657783
1941,27483.347210657783
1942,27483.347210657783
1943,27483.347210657783
1944,27483.347210657783
1945,27483.347210657783
1946,27483.347210657783
1947,27483.347210657783
1948,27483.347210657783
1949,27483.347210657783
1950,27483.347210657783
1951,27483.347210657783
1952,27483.347210657783
1953,27483.347210657783
1954,27483.347210657783
1955,27483.347210657783
1956,27483.347210657783
1957,27483.347210657783
1958,27483.347210657783
1959,27483.347210657783
1960,27483.347210657783
1961,27483.347210657783
1962,27483.347210657783
1963,27483.347210657783
1964,27483.347210657783
1965,27483.347210657783
1966,27483.347210657783
1967,27483.347210657783
1968,27483.347210657783
1969,27483.347210657783
1970,27483.347210657783
1971,27483.347210657783
1972,27483.347210657783
1973,27483.347210657783
1974,27483.347210657783
1975,27483.347210657783
1976,27483.347210657783
1977,27483.347210657783
1978,27483.347210657783
1979,27483.347210657783
1980,27483.347210657783
1981,27483.347210657783
1982,27483.347210657783
1983,27483.347210657783
1984,27483.347210657783
1985,27483.347210657783
1986,27483.347210657783
1987,27483.347210657783
1988,27483.347210657783
1989,27483.347210657783
1990,27483.347210657783
1991,27483.347210657783
1992,27483.347210657783
1993,27483.347210657783
1994,27483.347210657783
1995,27483.347210657783
1996,27483.347210657783
1997,27483.347210657783
1998,27483.347210657783
1999,27483.347210657783
2000,27483.347210657783
2001,27483.347210657783
2002,27483.347210657783
2003,27483.347210657783
2004,27483.347210657783
2005,27483.347210657783
2006,27483.347210657783
2007,27483.347210657783
2008,27483.347210657783
2009,27483.347210657783
2010,27483.347210657783
2011,27483.347210657783
2012,27483.347210657783
2013,27483.347210657783
2014,27483.347210657783
2015,27483.347210657783
2016,27483.347210657783
2017,27483.347210657783
2018,27483.347210657783
2019,27483.347210657783
2020,27483.347210657783
2021,27483.347210657783
2022,27483.347210657783
2023,27483.347210657783
2024,27483.347210657783
2025,27483.347210657783
2026,27483.347210657783
2027,27483.347210657783
2028,27483.347210657783
2029,27483.347210657783
2030,27483.347210657783
2031,27483.347210657783
2032,27483.347210657783
2033,27483.347210657783
2034,27483.347210657783
2035,27483.347210657783
2036,27483.347210657783
2037,27483.347210657783
2038,27483.347210657783
2039,27483.347210657783
2040,27483.347210657783
2041,27483.347210657783
2042,27483.347210657783
2043,27483.347210657783
2044,27483.347210657783
2045,27483.347210657783
2046,27483.347210657783
2047,27483.347210657783
2048,27483.347210657783
2049,27483.347210657783
2050,27483.347210657783
2051,27483.347210657783
2052,27483.347210657783
2053,27483.347210657783
2054,27483.347210657783
2055,27483.347210657783
2056,27483.347210657783
2057,27483.347210657783
2058,27483.347210657783
2059,27483.347210657783
2060,27483.347210657783
2061,27483.347210657783
2062,27483.347210657783
2063,27483.347210657783
2064,27483.347210657783
2065,27483.347210657783
2066,27483.347210657783
2067,27483.347210657783
2068,27483.347210657783
2069,27483.347210657783
2070,27483.347210657783
2071,27483.347210657783
2072,27483.347210657783
2073,27483.347210657783
2074,27483.347210657783
2075,27483.347210657783
2076,27483.347210657783
2077,27483.347210657783
2078,27483.347210657783
2079,27483.347210657783
2080,27483.347210657783
2081,27483.347210657783
2082,27483.347210657783
2083,27483.347210657783
2084,27483.347210657783
2085,27483.347210657783
2086,27483.347210657783
2087,27483.347210657783
2088,27483.347210657783
2089,27483.347210657783
2090,27483.347210657783
2091,27483.347210657783
2092,27483.347210657783
2093,27483.347210657783
2094,27483.347210657783
2095,27483.347210657783
2096,27483.347210657783
2097,27483.347210657783
2098,27483.347210657783
2099,27483.347210657783
2100,27483.347210657783
2101,27483.347210657783
2102,27483.347210657783
2103,27483.347210657783
2104,27483.347210657783
2105,27483.347210657783
2106,27483.347210657783
2107,27483.347210657783
2108,27483.347210657783
2109,27483.347210657783
2110,27483.347210657783
2111,27483.347210657783
2112,27483.347210657783
2113,27483.347210657783
2114,27483.347210657783
2115,27483.347210657783
2116,27483.347210657783
2117,27483.347210657783
2118,27483.347210657783
2119,27483.347210657783
2120,27483.347210657783
2121,27483.347210657783
2122,27483.347210657783
2123,27483.347210657783
2124,27483.347210657783
2125,27483.347210657783
2126,27483.347210657783
2127,27483.347210657783
2128,27483.347210657783
2129,27483.347210657783
2130,27483.347210657783
2131,27483.347210657783
2132,27483.347210657783
2133,27483.347210657783
2134,27483.347210657783
2135,27483.347210657783
2136,27483.347210657783
2137,27483.347210657783
2138,27483.347210657783
2139,27483.347210657783
2140,27483.347210657783
2141,27483.347210657783
2142,27483.347210657783
2143,27483.347210657783
2144,27483.347210657783
2145,27483.347210657783
2146,27483.347210657783
2147,27483.347210657783
2148,27483.347210657783
2149,27483.347210657783
2150,27483.347210657783
2151,27483.347210657783
2152,27483.347210657783
2153,27483.347210657783
2154,27483.347210657783
2155,27483.347210657783
2156,27483.347210657783
2157,27483.347210657783
2158,27483.347210657783
2159,27483.347210657783
2160,27483.347210657783
2161,27483.347210657783
2162,27483.347210657783
2163,27483.347210657783
2164,27483.347210657783
2165,27483.347210657783
2166,27483.347210657783
2167,27483.347210657783
2168,27483.347210657783
2169,27483.347210657783
