Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1750,0.0,344.3627591056,0.0,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.57,720.8548,278.00745
1751,0.0029966534005628456,358.7405810685125,3.1543820807089908e-06,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.6,722.08014,278.0183
1752,0.0032031744236479067,363.2068062780422,2.058786676055248e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.63,723.3311,278.02832
1753,0.0034096913164995634,364.5968352578152,2.8409591095297477e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.67,723.84,278.03833
1754,0.00361620407895382,365.02786121838795,3.1150387647066226e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.7,724.0494,278.05832
1755,0.0038227127111502305,365.1587551223756,3.1966386860835845e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.73,724.24023,278.0783
1756,0.004029217213297034,365.19548768609775,3.21194906321827e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.76,724.3392,278.08838
1757,0.0042357175854185625,365.20272278127345,3.205466225128684e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.79,724.5808,278.0984
1758,0.004442213827534725,365.20083801646945,3.192210096699051e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.82,725.4735,278.1084
1759,0.004648705939789505,365.1962720119097,3.177155647524267e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.85,726.3022,278.11838
1760,0.004855193922267064,365.1910585841617,3.161927530077912e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.88,727.24677,278.1384
1761,0.005061677774794542,365.18583467691917,3.1470428798447144e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.91,728.0718,278.15848
1762,0.005268157498080923,365.18079308787827,3.132654518639406e-05,406.2903038989944,20.16213795081316,4.3947611780919,67.30101512737843,266.94,728.85,278.18848
