Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1750,0.0,344.3627591056,0.0,341.32372529633767,19.196588964296456,2.2976586429851644,59.42636625764753,266.57,720.8548,278.00745
1751,0.0029966534005628456,358.7405810685125,3.1543820807089908e-06,341.5066752391748,19.19708165091417,2.2990388209777097,59.44588529447377,266.6,722.08014,278.0183
1752,0.0032031744236479067,363.2068062780422,2.058786676055248e-05,345.4315160015933,19.236554588388746,2.327235907757212,60.241065494532464,266.63,723.3311,278.02832
1753,0.0034096913164995634,364.5968352578152,2.8409591095297477e-05,345.3543606428341,19.24569637658004,2.326136787970147,60.20449216194155,266.67,723.84,278.03833
1754,0.00361620407895382,365.02786121838795,3.1150387647066226e-05,345.2285634574602,19.19116549170684,2.3254778044630937,60.178877137134506,266.7,724.0494,278.05832
1755,0.0038227127111502305,365.1587551223756,3.1966386860835845e-05,348.05000012812263,19.35590961448722,2.344541741858448,60.70786412246298,266.73,724.24023,278.0783
1756,0.004029217213297034,365.19548768609775,3.21194906321827e-05,349.6982789484403,19.490907443804875,2.3630151663819245,60.99320414034737,266.76,724.3392,278.08838
1757,0.0042357175854185625,365.20272278127345,3.205466225128684e-05,350.0315412888838,19.52587797197172,2.3632921698830387,61.03091459462969,266.79,724.5808,278.0984
1758,0.004442213827534725,365.20083801646945,3.192210096699051e-05,351.28110902000526,19.509020528870884,2.371856333996672,61.27891754336879,266.82,725.4735,278.1084
1759,0.004648705939789505,365.1962720119097,3.177155647524267e-05,353.5542737414641,19.677266729389352,2.388136179624661,61.68929285501021,266.85,726.3022,278.11838
1760,0.004855193922267064,365.1910585841617,3.161927530077912e-05,352.215496864317,19.48242605500773,2.378051763062037,61.44518864946315,266.88,727.24677,278.1384
1761,0.005061677774794542,365.18583467691917,3.1470428798447144e-05,351.8753425932803,19.37665512270072,2.384813901867977,61.38701233329634,266.91,728.0718,278.15848
1762,0.005268157498080923,365.18079308787827,3.132654518639406e-05,349.97165500035084,19.32209636429861,2.3706042890307266,60.98774210289027,266.94,728.85,278.18848
1763,0.0054746330914658995,365.1759853389289,3.118796139008902e-05,349.667064939637,19.3292744083362,2.3688513017826165,60.90573034881624,266.97,729.2629,278.2285
1764,0.005681104555649586,365.17141826998966,3.1054630237315357e-05,348.5918564946079,19.26517052691668,2.3609138398948453,60.68300363309751,267.0,729.7133,278.27847
1765,0.0058875718902198304,365.1670849219705,3.092638575209176e-05,348.65539589392694,19.3398711234943,2.359452985075862,60.65815346436226,267.03,730.0648,278.33847
1766,0.006094035095564346,365.1629744181844,3.080303006550906e-05,351.2051833168148,19.53485047045424,2.3891946664128683,61.11033501391548,267.06,730.37,278.4086
1767,0.006300494171835984,365.1590751140624,3.068436163945276e-05,353.79160368363785,19.620376500449908,2.4082014523217894,61.61510839557384,267.09,730.6503,278.4786
1768,0.006506949118742225,365.1553755842355,3.057018419812385e-05,354.267431278976,19.668988233876284,2.412920142236901,61.684787309350014,267.12,731.20996,278.5586
1769,0.006713399936670785,365.1518649141971,3.04603093306268e-05,353.8606726925466,19.62606384472905,2.4117512393034053,61.591714786636096,267.15,731.8393,278.6386
1770,0.006919846625646011,365.14853276890346,3.0354557029454752e-05,352.6643670162634,19.55688989434736,2.4051339822854825,61.34383170968268,267.18,732.4835,278.7286
1771,0.0071262891857520475,365.1453693906916,3.025275556729741e-05,349.5071282588181,19.312662886764866,2.392603060277079,60.678903118001,267.21,733.15466,278.82874
1772,0.007332727616944554,365.1423655757203,3.0154741172684658e-05,350.2053542342828,19.289060019180454,2.395746881793693,60.765742437436806,267.25,733.85394,278.92874
1773,0.007539161919555845,365.1395126447958,3.006035765507239e-05,350.13242425346834,19.27882379540378,2.3920668267453213,60.68643877570169,267.28,734.67255,279.03873
1774,0.0077455920933576635,365.13680241365375,2.9969456028033075e-05,350.32895090465166,19.21146123225103,2.392161621672648,60.68353624022821,267.31,735.03107,279.15875
1775,0.007952018138742162,365.13422716426805,2.988189414572556e-05,352.9045615929101,19.33619701108752,2.4078699516606807,61.12296369223509,267.34,735.3224,279.27875
1776,0.008158440055609594,365.13177961762665,2.9797536356833855e-05,356.3344943765463,19.56358584428757,2.4444542527515107,61.70435268706703,267.37,735.69366,279.39886
1777,0.00836485784403969,365.12945290804964,2.9716253176611333e-05,355.8882286048738,19.535758764488897,2.4372582593563967,61.5475628026314,267.41,736.0626,279.53888
1778,0.008571271504240675,365.1272405590104,2.963792097652631e-05,357.1892499138148,19.487286588893443,2.444344394507457,61.768831861681846,267.44,736.388,279.66888
1779,0.008777681036044137,365.1251364603871,2.9562421690683538e-05,359.47950650347934,19.630405779092246,2.460620147287915,62.143053926867424,267.47,737.3029,279.81888
