Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions
1750,0.0,344.3627591056,0.0,19.01978312,348.5273588,9.505619891,0.086022308,19.42352673,2.440048435,60.02182622
1751,0.0,344.36291400000005,0.0,18.91510887,343.9263672,9.505963229,0.087647464,19.20414179,2.408379138,59.08812628
1752,0.0,344.4111255267611,3.246202217393572e-07,18.88971181,341.8090339,9.510002042,0.089303323,19.20688243,2.397116044,58.63199703
1753,0.0,344.47034761246925,7.283283856573214e-07,19.12137723,343.6754562,9.51034538,0.090990464,19.12312497,2.410693365,59.0263494
1754,0.0,344.43622158092467,5.06235597509404e-07,19.50906107,349.8156252,9.514384194,0.09270948,19.27159805,2.462065253,60.26994517
1755,0.0,344.35084894286024,-6.982520212638406e-08,19.50045493,348.144668,9.518423007,0.094460972,19.46934617,2.442355144,59.82493372
1756,0.0,344.3693033947844,4.520481509405798e-08,19.4625366,343.3231517,10.16917002,0.096245554,18.93232247,2.419184325,58.94682931
1757,0.0,344.3595456472158,-2.138162295859615e-08,20.02354066,355.9418923,10.17320884,0.09806385,20.03135485,2.507464693,61.263693
1758,0.0,344.3708720651633,5.360751008505645e-08,19.93400533,351.839749,10.17724765,0.099916498,19.79526024,2.479743826,60.43461244
1759,0.0,344.3874074603625,1.656991685192854e-07,20.14146621,351.5077627,10.18128646,0.101804147,19.44725137,2.473528035,60.44526305
1760,0.0,344.3606556751565,-1.2460942057760746e-08,20.41679714,354.4182853,10.1816298,0.103727458,19.38588035,2.497745196,61.05172479
1761,0.0,344.2445779311397,-7.961733924033622e-07,20.45599017,354.7079679,11.14651159,0.105687104,19.77462909,2.509181763,60.9842272
1762,0.0,344.3349935923094,-2.0008097300818336e-07,20.45168738,349.2496972,11.15056977,0.107683773,19.05835711,2.466504133,60.02708933
1763,1.8830100936499242e-06,344.3381156115825,-1.7353346245280974e-07,20.54517934,350.0593349,11.15462794,0.109718163,19.26226974,2.480992166,60.12706627
1764,1.560568779929321e-05,344.36895166781517,3.607564840551689e-08,20.26091721,342.0446107,11.15868611,0.111790987,19.17566228,2.421867931,58.43835717
1765,3.216903182195538e-05,344.42091293873153,3.8972585892687935e-07,20.919155,352.9327258,11.16274429,0.113902972,19.42293088,2.497554066,60.62945786
1766,3.846069795021094e-05,344.3444397462355,-1.1861533700833775e-07,20.8535919,349.380645,12.44543696,0.116054857,19.4556448,2.484408322,59.85878463
1767,4.123107277960789e-05,344.33200891451895,-2.0828348048483306e-07,20.99917946,349.616099,12.44949514,0.118247396,19.43334507,2.482742878,59.8910269
1768,4.358022983061395e-05,344.3480965128996,-1.0305484172637322e-07,21.65945211,362.6536848,12.45355331,0.120481357,20.23143582,2.585377496,62.36582555
1769,4.604966319862048e-05,344.25672971083554,-7.175073430326413e-07,21.49633535,355.0254185,12.45761148,0.122757523,19.60477322,2.542757581,60.95040361
1770,4.840587718441365e-05,344.3023118804298,-4.198388418777569e-07,21.63439757,355.3605476,12.46166966,0.12507669,19.66747998,2.551004694,60.96602721
1771,5.0878436185289205e-05,344.23915499643033,-8.431507599176457e-07,21.4289211,347.8619883,13.81090157,0.127439672,19.2433605,2.456424302,59.42424033
1772,5.3349136828439116e-05,344.2857954829599,-5.351154000279423e-07,21.39461572,344.6134738,13.81498041,0.129847296,19.09055945,2.431878812,58.72495295
1773,5.57063843473684e-05,344.34149566192224,-1.5703816200039155e-07,21.59523139,345.7768091,13.81905926,0.132300405,19.0031008,2.437570529,58.91656885
1774,5.818253952625985e-05,344.3110531523347,-3.553073039213983e-07,22.25970773,358.103585,13.8231381,0.134799859,19.48773662,2.528911972,61.31335787
1775,6.0531906389305896e-05,344.19502861835167,-1.1376037235862321e-06,22.20096329,355.0471729,13.82721695,0.137346533,19.61800666,2.497313043,60.54083046
1776,6.302101986257809e-05,344.22292867507554,-9.621680593419402e-07,22.14194213,348.8985525,15.25035837,0.13994132,18.90835978,2.466672079,59.3811448
1777,6.537621717441084e-05,344.1993848609946,-1.1215425175768137e-06,22.56871006,357.545361,15.25443721,0.142585129,19.71597657,2.521353634,60.89349007
1778,6.786800222936087e-05,344.2249113334417,-9.523657672870324e-07,22.85608093,362.7554135,15.25851606,0.145278884,20.13379632,2.560565944,61.78348695
1779,7.021300697852443e-05,344.2128925106339,-1.031459485030136e-06,22.82063569,355.9261715,15.2625949,0.148023531,19.35039396,2.503712449,60.50081488
1780,7.270615453097498e-05,344.18997688171555,-1.1864133284436257e-06,23.24616665,361.6140422,15.27036922,0.150820031,19.37745514,2.545624085,61.61859566
1781,7.494529562911598e-05,344.06210304768047,-2.049994457290037e-06,23.24965548,360.0900539,17.07416836,0.153669363,19.62565322,2.551092641,61.19330647
1782,7.757112272539031e-05,344.15619104129655,-1.430563951071109e-06,23.34175812,356.0465546,17.07827094,0.156572525,18.98625554,2.518173245,60.48572145
1783,7.992600784153496e-05,344.1581220836969,-1.4120119184527864e-06,23.37991679,354.2869243,17.08606901,0.159530534,18.96016806,2.513461275,60.10171272
1784,8.240285654802228e-05,344.18931976463296,-1.200115475878154e-06,23.2940423,350.5694963,17.09017159,0.162544427,19.19455556,2.478316441,59.21225989
1785,8.48613606152456e-05,344.2281030681522,-9.351779233613199e-07,23.80210554,356.8051254,17.10194574,0.165615259,19.12509755,2.529190605,60.49447936
1786,8.722484681275279e-05,344.17306768953017,-1.300578735674861e-06,23.831995,354.2058773,19.40463405,0.168744106,19.14684086,2.523874405,59.91468241
1787,8.964700957481887e-05,344.15256259791335,-1.4427344013335454e-06,24.17652818,358.7933683,19.41243212,0.171932064,19.44251302,2.558671152,60.75335708
1788,9.21016855400267e-05,344.16421420531367,-1.3676694797560163e-06,24.85592892,371.3570923,19.4165347,0.17518025,20.21469119,2.648030358,63.12433047
1789,9.442081447046325e-05,344.0639710246327,-2.0424646099230573e-06,24.71707284,363.4416446,19.42433276,0.178489801,19.5725626,2.597817354,61.63229238
1790,9.694885854780375e-05,344.11179194002267,-1.7308314120725224e-06,24.94220857,364.8802164,19.43213083,0.181861878,19.70365926,2.605536163,61.84599181
1791,9.927204396776826e-05,344.0455055779702,-2.1752734286180146e-06,24.77843217,356.6583862,21.69419182,0.18529766,19.25345149,2.565535213,60.2187392
1792,0.00010179884438769443,344.0987399919668,-1.8231904369089193e-06,24.81889294,354.2515376,22.34876643,0.188798352,19.27298148,2.555885905,59.70568574
1793,0.00010430300795362148,344.1732925423698,-1.317602579441622e-06,25.03153141,353.3723093,22.37174568,0.19236518,19.0006134,2.549374599,59.5849395
1794,0.00010666680599992743,344.150596045976,-1.4615753353943933e-06,25.76753778,365.721914,22.32534355,0.195999394,19.52341319,2.642660373,62.03822453
1795,0.00010895569098876548,344.03982385052575,-2.207082271341636e-06,25.77334281,362.1921227,22.33821728,0.199702266,19.60939722,2.610163563,61.24273214
1796,0.00011147904418308064,344.07136397095957,-2.006133929670977e-06,25.74058407,354.4783029,23.43921459,0.203475094,18.75487968,2.568822151,59.86424243
1797,0.00011387715719015157,344.05359224435625,-2.125975282268905e-06,26.23006226,363.5482372,24.5980621,0.207319199,19.71766445,2.640239462,61.47137695
1798,0.00011637343840519145,344.08874836934945,-1.8911851769172933e-06,26.54644012,367.6501028,25.61685792,0.211235928,20.09313657,2.684800166,62.19763903
1799,0.00011825060591174652,344.0796396167416,-1.9494021489090176e-06,26.70648817,363.4860469,26.98144303,0.215226653,19.42330523,2.661313715,61.4962302
1800,0.0001215991622993551,344.033660075373,-2.259006205135419e-06,27.05634308,365.8466368,28.77780539,0.219292771,19.34521941,2.698593795,62.00320914
1801,0.00012343650465407633,343.93926611064853,-2.899369358083887e-06,27.12488718,364.9170684,28.55469611,0.223435708,19.61734749,2.688431218,61.66564779
1802,0.00012608986260303397,344.03993333352685,-2.2328026621491775e-06,27.33978432,362.9627075,37.07238349,0.227656914,19.07200886,2.727330113,61.32615659
1803,0.00012844407983585634,344.031049286759,-2.28557910563351e-06,27.32049985,358.65078,32.11505223,0.231957869,18.86747635,2.675871996,60.40434182
1804,0.00013093688191639246,344.0682166030037,-2.0340902707716074e-06,27.46474997,359.528696,35.05259222,0.236340078,19.35721882,2.691782017,60.36470275
1805,0.0001333725867156543,344.08308483720316,-1.929765919736739e-06,27.9507982,364.3037043,34.26830496,0.240805077,19.21582955,2.729785228,61.31991146
1806,0.00013569762162239185,344.0321282700262,-2.2700275980045492e-06,28.13437245,364.3432293,35.86203938,0.24535443,19.38277485,2.736325627,61.22344968
1807,0.0001380933551935012,343.998243055913,-2.5026107557020596e-06,28.45865603,367.2349328,38.36726044,0.24998973,19.52924774,2.775121695,61.70646914
1808,0.00014058708001510317,344.01692130689366,-2.3817072871170895e-06,29.18524117,380.035272,35.85692752,0.254712602,20.35478046,2.846709202,64.08195973
1809,0.00014281780939546992,343.91816943290803,-3.046126256822428e-06,29.12865813,372.8486855,35.88850331,0.2595247,19.69775378,2.801892048,62.71002213
1810,0.00014539614332547448,343.95409814425386,-2.814328553976734e-06,29.42453242,374.7180119,38.156726,0.264427709,19.8040833,2.823983532,62.97351665
1811,0.0001476228597582341,343.86845900242855,-3.3902471484066064e-06,29.40578756,369.2694863,40.3635149,0.269423347,19.58620781,2.803000631,61.829606
1812,0.0001502175739122293,343.91379109903994,-3.093733800117015e-06,29.4202985,364.5806875,41.75970724,0.274513363,19.36928311,2.785422831,60.85746997
1813,0.00015275179240316076,343.9806005533201,-2.6418440530535442e-06,29.77847603,365.9138874,41.95454084,0.279699542,19.20770844,2.796288721,61.1361302
1814,0.00015507531580714925,343.95144347132975,-2.8305595331948795e-06,30.54785186,377.9855417,42.8876376,0.2849837,19.72394695,2.893725367,63.49192823
