Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
1750,0.0736213936942088,0.200568225
1751,0.0552751046317088,0.209059325
1752,0.0251971749442088,0.206380105
1753,-0.0109805838448536,0.061907425
1754,-0.0453954764229786,-0.062075435
1755,-0.0698727957589161,0.074108025
1756,-0.0774546805245411,-0.065059035
1757,-0.0583127615792286,0.159503665
1758,-0.0069556326729786,0.203179365
1759,0.0435434640067088,0.206345805
1760,0.0684263985770213,0.052272705
1761,0.0622797677176463,-1.264197855
1762,0.0401893380301463,-0.568930895
1763,0.0068508858817088,-0.003457915
1764,-0.0299040945870411,0.163517245
1765,-0.0597480154854786,0.202690485
1766,-0.0738665457589161,-0.280062315
1767,-0.0606840506417286,-0.029642135
1768,-0.0045219412667286,0.164192685
1769,0.0616245431082713,0.042504485
1770,0.0932937325613963,0.159594225
1771,0.0857430489676463,0.202852105
1772,0.0628101876395213,0.209623585
1773,0.0268664376395213,0.210631865
1774,-0.0138822928292286,0.210775245
1775,-0.0496076346261036,0.210793185
1776,-0.0707620291573536,0.210794185
1777,-0.0669554861886036,0.210793485
1778,-0.0223222098214161,0.207604765
1779,0.0490816720145213,0.137115585
1780,0.0918584786551463,0.188025125
1781,0.0917024727957713,0.207199165
1782,0.0674123604910838,0.210272525
1783,0.0305481759207713,-2.119630935
1784,-0.0129774588448536,-3.088960035
1785,-0.0496700369698536,-0.345093435
1786,-0.0689679617745411,-0.003919635
1787,-0.0552706473214161,0.034312185
1788,0.0133407296317088,0.119514285
1789,0.0934809395926463,0.188451325
1790,0.1206571602957713,-0.029485215
1791,0.1065542306082713,0.120796345
1792,0.0883795479910838,0.193203085
1793,0.0575995919363963,0.190091925
1794,0.0217338448660838,0.194241665
1795,-0.0161599783761036,-0.183265355
1796,-0.0500288504464161,-0.018370075
1797,-0.0750677908761036,0.114417365
1798,-0.0872986502511036,0.195850085
1799,-0.0847713553292286,0.208604325
1800,-0.0665654715401661,-0.122612655
1801,-0.0366903494698536,0.124098725
1802,-0.0085468924386036,0.187583525
1803,0.0086137520926463,0.203658625
1804,0.0108914376395213,0.205844125
1805,0.0023423165457713,0.117482705
1806,-0.0121350272042286,0.191674085
1807,-0.0321817801339161,0.207946825
1808,-0.0538353934151661,0.210388865
1809,-0.0733517264229786,-3.456690515
1810,-0.0867682303292286,-4.020730075
1811,-0.0914640066964161,-1.673931155
1812,-0.0861910086495411,-0.814974195
1813,-0.0705124197823536,-0.774553175
1814,-0.0496076346261036,-0.865542435
1815,-0.0306373221261036,-3.128374855
1816,-0.0190304861886036,-5.792885675
1817,-0.0172832205636036,-4.229421275
1818,-0.0246310965401661,-2.325397535
1819,-0.0380319998604786,-0.786876915
1820,-0.0553486502511036,-0.044990435
1821,-0.0719476736886036,0.013244445
1822,-0.0833673025948536,0.001778085
1823,-0.0857697928292286,-0.468411855
