Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
1750,0.0736213936942088,0.1857456741581203
1751,0.0552751046317088,0.1857567460517512
1752,0.0251971749442088,0.1857604715824308
1753,-0.0109805838448536,0.1857617169069504
1754,-0.0453954764229786,0.1857621356409382
1755,-0.0698727957589161,0.1614905100426892
1756,-0.0774546805245411,-0.0641399037555059
1757,-0.0583127615792286,0.0654814896339625
1758,-0.0069556326729786,0.143706674085902
1759,0.0435434640067088,0.1715602637374792
1760,0.0684263985770213,0.180988300871404
1761,0.0622797677176463,0.1841585443588585
1762,0.0401893380301463,-0.7198788864817063
1763,0.0068508858817088,-0.4399601212913509
1764,-0.0299040945870411,-0.0390473245778303
1765,-0.0597480154854786,0.1095816660972169
1766,-0.0738665457589161,-0.1784875267041926
1767,-0.0606840506417286,-0.230039677074036
1768,-0.0045219412667286,0.0295441238874522
1769,0.0616245431082713,0.1325346158749756
1770,0.0932937325613963,0.036362348460972
1771,0.0857430489676463,0.0888930362775058
1772,0.0628101876395213,0.1511005216909173
1773,0.0268664376395213,0.1740225569578286
1774,-0.0138822928292286,0.181814435676583
1775,-0.0496076346261036,0.1844360076958867
1776,-0.0707620291573536,0.1853168155815639
1777,-0.0669554861886036,0.1856126856704365
1778,-0.0223222098214161,0.18571207513321
1779,0.0490816720145213,0.1857454650220301
1780,0.0918584786551463,0.185756681470787
1781,0.0917024727957713,0.1857604505721442
1782,0.0674123604910838,0.1857617130388784
1783,0.0305481759207713,-1.607111309127523
1784,-0.0129774588448536,-3.4875496425880166
1785,-0.0496700369698536,-1.3227211965923305
1786,-0.0689679617745411,-0.4872575238005176
1787,-0.0552706473214161,-0.0961377614801349
1788,0.0133407296317088,0.0885310651741068
1789,0.0934809395926463,0.1529858926017705
1790,0.1206571602957713,0.1747471382296157
1791,0.1065542306082713,0.1820619911134124
1792,0.0883795479910838,0.184519353267332
1793,0.0575995919363963,0.185344816477048
1794,0.0217338448660838,0.1856221003883398
1795,-0.0161599783761036,0.1857152427730107
1796,-0.0500288504464161,0.0561389030725385
1797,-0.0750677908761036,-0.0427948529802566
1798,-0.0872986502511036,0.057545267787991
1799,-0.0847713553292286,0.1403541454616734
1800,-0.0665654715401661,0.1704028869763686
1801,-0.0366903494698536,0.1805980962819972
1802,-0.0085468924386036,0.1840273982453961
1803,0.0086137520926463,0.1851795564739258
1804,0.0108914376395213,0.1855665834344882
1805,0.0023423165457713,0.185696592716987
1806,-0.0121350272042286,0.1857402587204534
1807,-0.0321817801339161,0.1857549291426783
1808,-0.0538353934151661,0.1857598571570931
1809,-0.0733517264229786,-3.365688134186352
1810,-0.0867682303292286,-2.313830028435405
1811,-0.0914640066964161,-0.7123016214302859
1812,-0.0861910086495411,-0.118562996879339
1813,-0.0705124197823536,0.0834154058417958
1814,-0.0496076346261036,0.1513774178324831
1815,-0.0306373221261036,-3.3418049013197435
1816,-0.0190304861886036,-4.328813791919775
1817,-0.0172832205636036,-1.519519756284862
1818,-0.0246310965401661,-0.395445519562877
1819,-0.0380319998604786,-0.0098529515260228
1820,-0.0553486502511036,0.1200357166070396
1821,-0.0719476736886036,0.0603751726292215
1822,-0.0833673025948536,0.0654325060086605
1823,-0.0857697928292286,-0.2700677190301451
1824,-0.0741473563057911,-0.0296613843038837
1825,-0.0442098318917286,0.1105650611354857
1826,-0.0108245779854786,0.1603739551907463
1827,0.0135747384207713,0.1772282548351096
1828,0.0209850167410838,0.1828953875884038
1829,0.0119522774832713,0.184799293647762
1830,-0.0077824637276661,0.1854388472573092
1831,-0.0343346609932911,-2.2447406013527207
1832,-0.0594516043526661,-1.4987682109213591
1833,-0.0750209891182911,-0.4194845439142279
1834,-0.0724780936104786,-0.0193371817849821
1835,-0.0391240408761036,-1.6633625299236003
1836,0.0198929757254588,-1.0677252796589791
1837,0.0638242257254588,-0.2640591208376881
1838,0.0756494698660838,0.0333550191991024
1839,0.0619677559988963,0.1345076343649378
1840,0.0395341134207713,0.1685426307197073
1841,0.0067416817801463,0.1799779356154535
1842,-0.0281100272042286,0.1838192963195094
1843,-0.0584375662667286,0.1851096592809696
1844,-0.0769710623604786,0.1855430999305122
1845,-0.0782191092354786,0.1856887053352972
1846,-0.0658478445870411,0.0035355621131678
1847,-0.0535077811104786,0.0598615081906203
1848,-0.0411365164620411,0.1405299890709263
1849,-0.0287652518136036,0.1704345774563485
1850,-0.0164407889229786,0.1807459751025106
1851,-0.0219009940011036,0.1843127987017509
1852,-0.0227122244698536,0.179540339543076
1853,-0.0328370047432911,0.0158872542411766
1854,-0.0466903250557911,-0.0141126119562986
1855,-0.0552238455636036,0.1129485946126033
1856,-0.0576107352120411,0.1222556114847754
1857,-0.0516357107979786,-0.0448233313901343
1858,-0.0347714773995411,0.0862878258264031
1859,-0.0205125418526661,0.1535034293269437
1860,-0.0099353445870411,0.1767693737397144
1861,-0.0120570242745411,0.1162362233867286
1862,-0.0243190848214161,-0.6237998311805185
1863,-0.0315109549386036,-0.2585729087354761
1864,-0.0385624197823536,0.0379998464610089
1865,-0.0442410330636036,0.1429288681419851
1866,-0.0471271414620411,0.1744104739671799
1867,-0.0515109061104786,0.1846691752130716
1868,-0.0417293387276661,0.188148666241629
1869,-0.0238822684151661,0.1894123650346563
1870,-0.0224938162667286,0.189950840385198
1871,-0.0117294119698536,0.190250396871541
1872,-0.0174080252511036,0.1888343157402478
1873,-0.0270647879464161,-0.0158300305583035
1874,-0.0354423025948536,0.1013756654566645
1875,-0.0510428885323536,0.1189863316340539
1876,-0.0581879568917286,0.1301073235870275
1877,-0.0627589285714161,0.1696072468545434
1878,-0.0684219412667286,0.1844107426763875
1879,-0.0672362967354786,0.1886593041289881
1880,-0.0533205740792286,0.152387029780733
1881,-0.0339602469307911,0.1480425186442423
1882,-0.0380944022042286,0.1874362016564929
1883,-0.0410585135323536,-0.3245940535795368
1884,-0.0178604422432911,-1.8150618607595548
1885,-0.0323377859932911,-0.6420197136906102
1886,-0.0487652029854786,-0.0852453820278208
1887,-0.0588899832589161,-0.0250194748857913
1888,-0.0628525320870411,0.1350073025315394
1889,-0.0642721854073536,0.1858189092422608
1890,-0.0608088553292286,0.0703015871889916
1891,-0.0353955008370411,-0.1023137574833239
1892,-0.0144751150948536,0.0776308559536416
1893,0.0019679024832713,0.1864156024276895
1894,0.0217650460379588,0.1928429990747818
1895,0.0030287423270213,0.1930910447676056
1896,-0.0225874197823536,0.1931834614192998
1897,-0.0390304373604786,0.1932244119036768
1898,-0.0467371268136036,0.1932443819356002
1899,-0.0559102713448536,0.1932520396033143
1900,-0.0612144705636036,0.1932496771384894
1901,-0.0702628104073536,0.1931616844954455
1902,-0.0681099295479786,0.0905974399643504
1903,-0.0497948416573536,-0.7087274740337839
1904,-0.0165031912667286,-0.2643088397457709
1905,-0.0311833426339161,0.0775831246860811
1906,-0.0071740408761036,0.174940428637948
1907,-0.0201537283761036,0.0620316195413956
1908,-0.0120414236886036,0.1257742106095442
1909,-0.0288900565011036,0.1917775514880681
1910,-0.0413237234932911,0.1915901911557206
1911,-0.0592955984932911,0.1913996219514424
1912,-0.0661598563057911,-0.2483084466661772
1913,-0.0646465994698536,-0.3094316922947278
1914,-0.0509492850167286,0.0203984452523777
1915,-0.0111989920479786,0.1641375391623491
1916,0.0207822091238963,0.1892217576383167
1917,0.0419054024832713,0.1901831884747856
1918,0.0456807442801463,0.1899763122778872
1919,0.0130443184988963,0.1897601017840692
1920,-0.0179384451729786,0.189540706865538
1921,-0.0371115652901661,0.1893181118062252
1922,-0.0546154227120411,0.0877045766097048
1923,-0.0585935721261036,0.1209378339695298
1924,-0.0508712820870411,0.1886312109996119
1925,-0.0297324881417286,0.1883957416862735
1926,-0.0014174246651661,0.1881570617547744
